seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
462	0	0.672200702130795	0.1778782	0.6598932	0.6682789	7.403628e-05	7.588407e-06	0.6812822	17.64562	17.3124	1.206523	18.7949	0.03109352	0.02446703	18.97438	0.2017016	-0.769499436884737
463	0	0.675110555021092	0.06477222	0.6572418	0.6725224	8.959501e-05	8.938323e-06	0.6863474	17.69254	17.35891	1.204814	18.76907	0.02869013	0.02233796	18.77465	0.2127028	-0.838918727025926
464	0	0.653471662383527	0.4184777	0.6565493	0.656378	0.0001092687	2.614305e-05	0.6747922	17.64739	17.29405	1.206662	18.75566	0.02866012	0.02266289	19.26569	0.1728928	-0.724287827227272
465	0	0.711760862451047	0.005872535	0.6975069	0.7136424	7.290329e-05	9.211376e-06	0.7283934	17.75758	17.45752	1.182266	18.87133	0.03219675	0.02343129	17.40932	0.3666403	-0.993807930396765
466	0	0.740342084760778	0.6068859	0.7488128	0.7455025	8.3722e-05	1.875506e-05	0.7562129	17.88784	17.63614	1.053524	18.90922	0.03369005	0.02312062	16.13033	0.5196676	-1.3691687690908
467	0	0.69965569912456	0.8127005	0.7122675	0.7045926	6.565987e-05	3.230753e-05	0.7173328	17.75397	17.44769	1.146607	18.81735	0.02758487	0.02039002	17.77616	0.3303918	-1.03585824186288
468	0	0.672723758034408	0.6341812	0.6841116	0.6819264	5.459679e-05	3.124335e-05	0.6911753	17.70302	17.37173	1.146407	18.7621	0.02501808	0.01952278	18.74594	0.2432924	-0.817839512086064
469	0	0.73583759823814	0.8008153	0.7377523	0.73134	7.329114e-05	5.876987e-06	0.742501	17.84474	17.58902	1.061249	18.88004	0.03041356	0.02132168	16.83453	0.4571033	-1.25309592925552
46	0	0.654330467875116	0.6154474	0.646755	0.6431188	9.807239e-05	7.835911e-06	0.660744	17.60474	17.24756	1.233029	18.74554	0.02875761	0.02190473	19.42291	0.1420657	-0.720820859619798
470	0	0.661468540295027	0.4391788	0.6692917	0.6713071	5.931812e-05	1.009651e-05	0.6841512	17.66758	17.31368	1.251804	18.77112	0.02737539	0.02057589	18.88057	0.214167	-0.751393795430955
471	0	0.686263998481445	0.8410728	0.6880886	0.6778301	7.056509e-05	2.734305e-05	0.6948556	17.69584	17.36121	1.173656	18.78664	0.02832413	0.02099149	18.59745	0.2350613	-0.827837740868838
472	0	0.660956405242905	0.6416275	0.6623862	0.6589311	6.438482e-05	1.258224e-05	0.6713692	17.65155	17.30448	1.202757	18.75087	0.02769065	0.0217164	19.16183	0.1787891	-0.744495245330319
473	0	0.71789462713059	0.5298239	0.712782	0.7140952	4.785335e-05	1.122522e-05	0.7253067	17.78082	17.48287	1.175102	18.87832	0.03436598	0.02509438	17.44782	0.3739216	-1.04536681088952
474	0	0.716802460048348	0.6551273	0.7045311	0.704845	7.689337e-05	1.846783e-05	0.7201425	17.78371	17.51011	1.104877	18.84329	0.03226894	0.02446148	17.88765	0.3335972	-1.0947929579671
475	0	0.656540627521463	0.5014615	0.6725762	0.6750254	6.050323e-05	2.238927e-05	0.6875346	17.70891	17.36958	1.177773	18.7662	0.02768298	0.02138739	18.68615	0.2301148	-0.841115403702193
476	0	0.737220801413059	0.03734656	0.7327859	0.7466002	6.915487e-05	9.049647e-06	0.7612584	17.86122	17.59689	1.111089	18.90182	0.03294181	0.02222222	16.16359	0.5299565	-1.25449341602188
477	0	0.726279844343662	0.296249	0.7171547	0.7220753	0.0001205001	3.897472e-05	0.7436882	17.78325	17.50384	1.106934	18.85107	0.03087322	0.02220996	16.96043	0.4091808	-1.013742246718
478	0	0.744471917045303	0.9420994	0.7677681	0.7524201	7.298586e-05	1.200031e-05	0.7682628	17.90812	17.67667	1.007959	18.91828	0.03306445	0.02035925	15.91896	0.5515235	-1.47873795195468
479	0	0.737475423514843	0.1982148	0.7282351	0.7343382	4.349291e-05	1.610496e-05	0.7453106	17.8286	17.55746	1.108871	18.8686	0.03168048	0.02238826	16.77632	0.4646617	-1.2640100245811
