seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
296	0	0.67297316105105	0.3684982	0.6744186	0.6827007	0.0006724108	0.0002350687	0.7209302	17.59309	17.47145	0.6218	18.44323	0	0	14.68895	0.2093023	-0.572663819434117
297	0	0.721669911663048	0.125634	0.6860465	0.713889	0.0005659253	0.0001533061	0.747093	17.68717	17.61179	0.5652689	18.57839	0.008064516	0	13.43023	0.4069767	-1.09415495300605
298	0	0.663660733122379	0.6953615	0.6744186	0.6629467	0.0005980757	8.033769e-05	0.6976744	17.43947	17.39476	0.5953392	18.49612	0.004484305	0	15.06686	0.1337209	-0.76391660544861
299	0	0.732272455049679	0.654895	0.744186	0.7372702	0.0005330698	6.723678e-05	0.7732558	17.66451	17.54455	0.6932893	18.53722	0.003759398	0	13.76744	0.4069767	-1.12192501088089
29	0	0.687997087673284	0.5107069	0.6831395	0.6837195	0.0005497901	0.0001887583	0.7238372	17.50972	17.48318	0.5550382	18.49085	0.004524887	0	14.35174	0.2616279	-0.987040676229317
2	0	0.650364417606033	0.2922571	0.6366279	0.6504325	0.0005318472	0.0001684742	0.6860465	17.44177	17.39372	0.5361799	18.40127	0	0	15.55233	0.122093	-0.569961022885348
300	0	0.715295108756982	0.4007932	0.7151163	0.7241895	0.0006641114	6.899641e-05	0.7703488	17.75525	17.64116	0.6684512	18.62122	0.003952569	0	13.34012	0.4244186	-1.12186256192057
301	0	0.703506808471866	0.9541275	0.752907	0.7065071	0.0008502137	0.0003693814	0.75	17.60454	17.46631	0.7865279	18.65342	0	0	13.76163	0.3255814	-0.762863233352768
302	0	0.683888909290545	0.3411948	0.6686047	0.6754189	0.0004821283	0.0001321622	0.7122093	17.42159	17.38338	0.6665447	18.47828	0	0	15.06686	0.1744186	-0.750939958343702
303	0	0.749492942309007	0.8159983	0.7819767	0.7593273	0.0004705625	0.0001134281	0.7965116	17.81515	17.70857	0.5988336	18.61498	0.01123596	0.003745318	12.68895	0.5639535	-1.115825672642
304	0	0.669824426062405	0.7428456	0.6744186	0.6568611	0.000716159	0.0001700029	0.6918605	17.55336	17.49605	0.5650852	18.47914	0	0	15.41279	0.1802326	-0.784210734097707
305	0	0.706696899025701	0.6427966	0.7238372	0.7163601	0.0005041511	0.0001671125	0.75	17.76471	17.55613	0.6798491	18.52976	0.008032129	0	13.49128	0.3430233	-0.963891786961941
306	0	0.683287385571748	0.1019702	0.6569767	0.683485	0.0005766254	0.000141912	0.7209302	17.57872	17.53169	0.4745527	18.53007	0.008583691	0	14.52326	0.25	-1.02556934532012
307	0	0.736653394810855	0.4036978	0.7354651	0.7359358	0.0004523394	0.000177097	0.7732558	17.60574	17.47398	0.909883	18.60662	0.007782101	0	13.13372	0.4069767	-0.769995026334099
308	0	0.661340115847997	0.454836	0.6540698	0.6550627	0.0007062405	0.0002908428	0.6918605	17.58174	17.50778	0.6485141	18.59035	0.004405286	0	14.57558	0.1686047	-0.861629464379871
309	0	0.669956878852099	0.3059568	0.6802326	0.6948267	0.000694837	0.0005098616	0.7354651	17.45575	17.43634	0.6227041	18.50953	0	0	14.55814	0.244186	-0.879912901896879
30	0	0.667932720528916	0.4118812	0.6453488	0.6561736	0.0009711622	0.0002632914	0.7034884	17.54461	17.38549	0.7379083	18.45472	0	0	15.30233	0.1976744	-0.701590329083795
310	0	0.681216479372233	0.8383513	0.7063953	0.6818621	0.0005001151	0.0001547368	0.7209302	17.50167	17.40782	0.6408339	18.52379	0.004347826	0	14.76453	0.2674419	-0.520147336777662
311	0	0.686825444782153	0.5752258	0.6860465	0.6817538	0.0007752338	0.0003106281	0.7238372	17.48004	17.45143	0.5699313	18.49339	0	0	14.48547	0.2093023	-0.773466295178409
312	0	0.722349761752412	0.9673272	0.7674419	0.7240557	0.0005102363	0.0001084968	0.7616279	17.69705	17.53026	0.7579095	18.58248	0.003952569	0	13.15988	0.4302326	-1.02897793950447
313	0	0.680213471408933	0.6068082	0.6802326	0.6706636	0.000658153	0.0001957541	0.7151163	17.46094	17.40833	0.703062	18.47156	0.004366812	0	15.11337	0.2151163	-0.645082936635399
314	0	0.722872310387902	0.02320941	0.6656977	0.7173736	0.0006112078	4.944658e-05	0.7587209	17.67783	17.55537	0.6522971	18.63478	0	0	13.59012	0.3372093	-0.70632961798641
315	0	0.672532199439593	0.1505792	0.6598837	0.6821991	0.0005566553	0.0002769897	0.7238372	17.62421	17.51449	0.6495105	18.53458	0.009259259	0	14.56686	0.244186	-0.853866642443613
316	0	0.738422740949318	0.9609658	0.7906977	0.7434728	0.0006697301	0.0002850007	0.7848837	17.72611	17.64728	0.5990711	18.61413	0.0125	0	13.01453	0.4418605	-0.93939495848078
317	0	0.705194858787581	0.2457249	0.6860465	0.700231	0.0005518917	0.0001281125	0.7412791	17.65456	17.53215	0.7844768	18.63187	0.00862069	0	13.74709	0.2848837	-1.10441103115131
318	0	0.687924406281672	0.4317008	0.6831395	0.688074	0.0004385425	0.0002566238	0.7238372	17.44955	17.44465	0.530925	18.51213	0	0	14.14826	0.2616279	-0.622229072965005
319	0	0.734624935337342	0.5628998	0.744186	0.7381735	0.0006139895	0.0001006868	0.7703488	17.74204	17.61604	0.6250014	18.56305	0.0155642	0.003891051	13.31105	0.4244186	-1.25937023344697
31	0	0.709883307595737	0.7289993	0.7354651	0.7157856	0.0006326605	0.0001226541	0.7616279	17.62664	17.59699	0.6167894	18.65338	0	0	13.73837	0.4069767	-1.09899133545192
320	0	0.676436230842955	0.5256397	0.6744186	0.6710132	0.0005252039	9.172685e-05	0.7093023	17.54437	17.42338	0.75748	18.4989	0.008510638	0	14.45349	0.2325581	-0.677709033419327
321	0	0.650744967558421	0.3021829	0.6424419	0.6526274	0.0006554122	6.968026e-05	0.6976744	17.33184	17.33465	0.5554453	18.34851	0	0	15.59593	0.1162791	-0.607673894916189
322	0	0.655859519238584	0.1245232	0.6075581	0.6399834	0.0007385384	0.0002007394	0.6831395	17.45617	17.35897	0.6121762	18.43986	0	0	15.10174	0.1337209	-0.497765224720902
323	0	0.689926887839101	0.6256696	0.6860465	0.6777945	0.0005706598	0.000262896	0.7151163	17.65866	17.57017	0.5579259	18.56128	0	0	14.41279	0.25	-0.814816619947268
324	0	0.677348573319614	0.3126492	0.6540698	0.6678987	0.0006491426	0.0001021288	0.7122093	17.50275	17.4136	0.6226666	18.5286	0	0	14.86628	0.1744186	-0.669121292264621
325	0	0.699199728714302	0.001563151	0.6453488	0.6987264	0.0005455808	0.0001871832	0.7383721	17.40608	17.37225	0.6764387	18.55217	0.004405286	0	14.9157	0.25	-0.574113949503956
326	0	0.664811369101517	0.1828292	0.6511628	0.6690995	0.0004371159	0.0001220582	0.7063953	17.52501	17.49457	0.5351994	18.54577	0.004291845	0	14.77326	0.1395349	-0.682648888363476
327	0	0.660435125976801	0.04004024	0.6017442	0.6520865	0.0008345613	7.30286e-05	0.7005814	17.39022	17.27758	0.7212953	18.49108	0	0	15.55523	0.1046512	-0.576143995831265
328	0	0.723197411792353	0.8329419	0.75	0.7262053	0.0006442186	0.0002683272	0.7674419	17.69726	17.63541	0.6882251	18.64896	0.004464286	0.004464286	13.46221	0.4302326	-1.03523823644143
329	0	0.672452446608804	0.110951	0.6453488	0.6716138	0.0006664011	0.0003723993	0.7122093	17.52053	17.39654	0.5490184	18.45432	0	0	15.35174	0.1453488	-0.592330400078093
32	0	0.654570505139418	0.7809926	0.6715116	0.6502934	0.0006940263	0.000110687	0.6918605	17.38807	17.32877	0.6221293	18.47104	0.004219409	0	15.18314	0.09302326	-0.608273205971082
330	0	0.690212974930182	0.6733764	0.7063953	0.6945357	0.0006088736	8.420985e-05	0.7296512	17.44855	17.42887	0.574135	18.49033	0	0	14.625	0.2616279	-0.978357078778203
331	0	0.659106074087322	0.244186	0.6424419	0.6588117	0.0005558537	0.0001783171	0.6976744	17.47353	17.36334	0.5970905	18.44937	0	0	14.88953	0.1511628	-0.51846829641838
332	0	0.715876332530752	0.7442626	0.7383721	0.7217137	0.0006085596	0.0002130588	0.755814	17.66201	17.55826	0.6915633	18.58856	0.01632653	0	14.06105	0.377907	-0.829545220474489
333	0	0.686062883911654	0.8527601	0.7209302	0.6954426	0.0004877583	0.0001981564	0.7296512	17.55534	17.49893	0.5312337	18.4946	0.008658009	0	14.13081	0.3081395	-0.969502509968
334	0	0.74080056482926	0.7649034	0.7616279	0.7423448	0.0005528347	0.0001072738	0.7819767	17.68989	17.64388	0.6014972	18.69923	0.003921569	0	13.0407	0.4709302	-1.07012759723975
335	0	0.675754097220488	0.8005374	0.6976744	0.6754589	0.0007016179	6.419624e-05	0.7151163	17.40438	17.27356	0.7594652	18.49287	0	0	15.43605	0.1627907	-0.812396270689701
336	0	0.743166720704176	0.04932832	0.6802326	0.7265705	0.001175691	0.0001519492	0.7994186	17.64295	17.58076	0.6772922	18.69392	0.01694915	0	12.68023	0.4302326	-1.04901763074101
337	0	0.712599538941868	0.5667866	0.7238372	0.7146348	0.0007799412	0.0001514188	0.755814	17.64183	17.54487	0.6028906	18.54623	0.007782101	0	14.11047	0.3488372	-0.81705462948858
338	0	0.65648941018153	0.5752332	0.6715116	0.6606589	0.0008377581	0.0002076025	0.7122093	17.45235	17.38418	0.6628974	18.5134	0.004444444	0	15.09302	0.1453488	-0.541439548790668
339	0	0.74450230342336	0.3887492	0.7383721	0.7466607	0.0006588585	0.0002162699	0.7877907	17.79392	17.68102	0.6279286	18.6902	0.007751938	0	12.71802	0.5290698	-1.18826582079121
33	0	0.709805819252506	0.6509645	0.744186	0.7341958	0.0004246153	9.239699e-05	0.7645349	17.72341	17.67853	0.5353213	18.65655	0.008130081	0	13.68023	0.3604651	-1.03384453919266
340	0	0.700106550916098	0.3740489	0.6918605	0.7013059	0.0005161342	0.0001196219	0.7383721	17.5469	17.42575	0.6467969	18.55133	0	0	14.52326	0.2674419	-0.861163834766486
341	0	0.747257698071189	0.8574923	0.7703488	0.7462272	0.0004767167	0.0002631553	0.7848837	17.79839	17.59774	0.7288763	18.54774	0.003690037	0	12.69477	0.505814	-0.927927311330202
342	0	0.696424315986224	0.06349537	0.6540698	0.6969841	0.0008231738	2.640995e-05	0.744186	17.58788	17.51185	0.6032935	18.54654	0.008230453	0	13.93605	0.3081395	-0.684987837478228
343	0	0.712548007001169	0.188991	0.6860465	0.709171	0.000656947	8.554505e-05	0.75	17.54427	17.47673	0.5794311	18.5038	0	0	14.21802	0.2616279	-0.809002092158041
344	0	0.727953152987175	0.6683475	0.755814	0.7453906	0.0004801944	7.025071e-05	0.7732558	17.74457	17.569	0.6997518	18.66663	0.01666667	0	13.0407	0.4593023	-0.970686518185869
345	0	0.671623426117003	0.7544554	0.6947674	0.6729218	0.0007425058	0.0003087319	0.7122093	17.60755	17.46316	0.6400964	18.54344	0.00952381	0	14.97384	0.2034884	-0.489344761991237
346	0	0.705499262292869	0.05896052	0.6511628	0.7131356	0.001147608	0.0001224498	0.7674419	17.58218	17.46312	0.691199	18.49825	0	0	13.93605	0.3313953	-0.661473909623417
347	0	0.675136319431476	0.4255713	0.6627907	0.6665981	0.000518724	0.0001976319	0.7063953	17.44096	17.38032	0.5806097	18.43885	0.004608295	0	14.6686	0.1976744	-0.852336770641218
348	0	0.741023450973444	0.6966473	0.7587209	0.7433605	0.0005307497	0.0003029712	0.7848837	17.76155	17.59477	0.7896131	18.79195	0.01992032	0.003984064	13.04651	0.4418605	-0.98204362618933
349	0	0.6958733078558	0.01092953	0.6453488	0.6998025	0.0008870304	0.0002533631	0.752907	17.65983	17.56833	0.6506028	18.61404	0	0	14.19477	0.2093023	-0.957884088590261
34	0	0.694125339295715	0.03688355	0.6453488	0.6912186	0.0005576397	0.0003065711	0.7267442	17.6344	17.53212	0.665818	18.54535	0	0	14.55814	0.2732558	-1.34877304205637
350	0	0.74077074828092	0.4197544	0.747093	0.7483454	0.0004582556	0.0002064723	0.7848837	17.78399	17.68534	0.6043354	18.66994	0.007272727	0	12.62209	0.5697674	-0.992381686987362
351	0	0.660497212316841	0.5174789	0.6656977	0.661891	0.001016737	0.0005732435	0.7093023	17.53955	17.48246	0.6245044	18.53862	0	0	15.16279	0.1744186	-0.682744758833365
352	0	0.69452951354906	0.871399	0.7151163	0.6808712	0.000609932	8.670555e-05	0.7238372	17.55712	17.47984	0.5837017	18.47394	0.004504505	0	14.7907	0.2209302	-0.820544968249438
353	0	0.745742363389581	0.2681919	0.7325581	0.7456683	0.0005916998	0.0001939679	0.7906977	17.88012	17.76572	0.5441081	18.77974	0.01176471	0	12.53488	0.5232558	-1.14361859404291
354	0	0.651923499326222	0.3888036	0.6337209	0.6376987	0.0006571223	4.153591e-05	0.6831395	17.32833	17.24537	0.8523051	18.48475	0.004273504	0	15.38081	0.1569767	-0.425778374834115
355	0	0.740049000061117	0.153805	0.7151163	0.7327324	0.0003830689	0.0001595751	0.7616279	17.66732	17.56933	0.6339316	18.63482	0.007936508	0	13.1686	0.4127907	-1.02147892691176
