seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.05	100	0.5	0.999917	0.9401	0.5455603	0.002961145	0.007994992	0.6275675	15.07159	15.01741	0.5926654	16.15799	0	0	133.0871	0	-0.6837292	-0.6816593	-0.7099444	-0.708922022774412
100	0.05	100	0.5	0.9998486	0.9174	0.547223	0.002641478	0.00682254	0.61575	15.09168	15.06541	0.5604054	16.23182	0	0	132.3762	0	-0.6041471	-0.6830933	-0.6636121	-0.670269396616851
101	0.05	100	0.5	0.9999425	0.9318	0.5378669	0.002634763	0.008916029	0.607	15.07631	15.04796	0.5482201	16.1686	0	0	132.4276	0	-0.8251217	-0.8560469	-0.8216907	-0.837405972439771
102	0.05	100	0.5	0.999931	0.94215	0.5442412	0.002611274	0.008814722	0.6122	15.09193	15.076	0.5232224	16.1812	0	0	132.776	0	-0.6879566	-0.7145053	-0.7256573	-0.735421805138339
103	0.05	100	0.5	0.9999793	0.92375	0.5254045	0.003138706	0.007424183	0.6119	15.09182	15.04311	0.5561526	16.14238	0	0	132.1369	0	-0.7117359	-0.7354693	-0.7448168	-0.763491728648324
104	0.05	100	0.5	0.9995524	0.91475	0.5459521	0.003105258	0.007762025	0.63405	15.19871	15.15821	0.548524	16.2899	0	0	132.9694	0	-1.12134	-1.197946	-1.17975	-1.19723241645294
105	0.05	100	0.5	0.9999839	0.91015	0.5453095	0.002537876	0.006635389	0.62715	15.02494	14.98951	0.5802231	16.17065	0	0	133.3934	0	-0.5849302	-0.6674581	-0.6936017	-0.702791841089225
106	0.05	100	0.5	0.9998042	0.918	0.5237292	0.00322991	0.006590494	0.614	15.11317	15.0694	0.5816545	16.23433	0	0	132.0795	0	-0.8019244	-0.8834717	-0.8524856	-0.859077054669102
107	0.05	100	0.5	0.999777	0.903	0.544522	0.002602819	0.007273255	0.6127	15.02925	15.02507	0.5694455	16.19053	0	0	132.4217	0	-0.6770874	-0.7288896	-0.7390033	-0.736792143189639
108	0.05	100	0.5	0.9998848	0.9228	0.5350644	0.003649297	0.005793876	0.66305	15.19707	15.14729	0.5970431	16.28706	0	0	131.9375	0	-0.9758625	-1.083691	-1.080818	-1.11566769159085
109	0.05	100	0.5	0.9999746	0.9034	0.5532809	0.00296473	0.00566173	0.6305	15.06394	15.04394	0.7007798	16.30591	0	0	131.6876	0	-0.7444532	-0.7803115	-0.7736646	-0.791800939792493
10	0.05	100	0.5	0.9999677	0.9062	0.5441238	0.002784619	0.007381559	0.6193	15.047	15.0306	0.5242147	16.16503	0	0	133.3779	0	-0.7309557	-0.7636789	-0.7409825	-0.747382647951877
110	0.05	100	0.5	0.9999172	0.91965	0.534305	0.002671999	0.008109022	0.5999	15.02841	15.03394	0.5616318	16.19666	0	0	132.1517	0	-0.6643468	-0.7091717	-0.7380024	-0.753495324382434
111	0.05	100	0.5	0.9999147	0.9282	0.5353083	0.002921825	0.007426453	0.61125	15.10491	15.08341	0.5374402	16.16911	0	0	132.3922	0	-0.7042378	-0.697698	-0.7120172	-0.717937579230539
112	0.05	100	0.5	0.9999286	0.9058	0.542926	0.002498318	0.00657227	0.61345	15.01308	14.9585	0.588921	16.14631	0	0	133.2626	0	-0.690315	-0.688679	-0.6667616	-0.654041801903928
