seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.05	100	0.1	0.9999443	0.61655	0.1286434	0.002257129	0.01414127	0.17615	14.18051	14.19238	0.4039241	15.26182	0	0	58.69025	0	0.80773	0.9872677	1.060378	1.13595690508601
100	0.05	100	0.1	0.9999767	0.58345	0.1314689	0.002374871	0.01108195	0.19365	14.25111	14.2395	0.4456524	15.36377	0	0	57.41055	0	0.8408444	0.9830038	1.080496	1.12302895892316
101	0.05	100	0.1	0.9999814	0.55615	0.1190856	0.001973484	0.01349131	0.1604	14.35518	14.27219	0.4976911	15.34955	0	0	56.03505	0	0.9410754	1.151808	1.19259	1.27136016228649
102	0.05	100	0.1	0.9999184	0.4455	0.1060398	0.001169379	0.006877927	0.15215	14.13026	14.08978	0.48785	15.17589	0	0	50.51235	0	1.422771	1.64039	1.719546	1.84528304192366
103	0.05	100	0.1	0.9999421	0.5534	0.1153068	0.001762069	0.01358172	0.15135	14.25998	14.18831	0.3991151	15.22187	0	0	53.13695	0	1.240817	1.372171	1.443331	1.55734556827901
104	0.05	100	0.1	0.9997379	0.5225	0.1213839	0.001855889	0.008381627	0.17055	14.36514	14.28717	0.3748883	15.20538	0	0	56.2249	0	0.8682438	0.9219543	1.037062	1.10426751234338
105	0.05	100	0.1	0.9998251	0.5112	0.1240511	0.001675015	0.008735066	0.1727	14.32475	14.26711	0.4205748	15.30533	0	0	58.59715	0	1.033769	1.192104	1.219901	1.26989183746649
106	0.05	100	0.1	0.9999861	0.53535	0.1292039	0.0020493	0.008650867	0.19165	14.3353	14.23833	0.5129157	15.33512	0	0	59.91835	0	0.9564361	1.020384	1.087476	1.16998633752081
107	0.05	100	0.1	0.9993333	0.5022	0.1215511	0.001897351	0.01159036	0.1650775	14.37755	14.34112	0.4136532	15.37986	0	0	53.46045	0	0.9239598	1.07276	1.14088	1.20674604553239
108	0.05	100	0.1	0.999993	0.51115	0.1117619	0.001538123	0.009200394	0.16115	14.17274	14.17905	0.4548315	15.25836	0	0	53.3994	0	1.307249	1.49375	1.515422	1.61796269464752
109	0.05	100	0.1	0.9999417	0.55715	0.1193239	0.001871802	0.01194645	0.16615	14.27434	14.24677	0.5023944	15.27969	0	0	56.55725	0	1.108383	1.24174	1.292462	1.35341269958345
10	0.05	100	0.1	0.9998656	0.61665	0.1320623	0.001950218	0.01059635	0.18305	14.12641	14.14202	0.5837658	15.2536	0	0	60.98665	0	1.044353	1.133941	1.210549	1.26805957442189
110	0.05	100	0.1	0.9998535	0.5606	0.1254061	0.002226729	0.01197251	0.17645	14.36489	14.32384	0.3596395	15.29252	0	0	57.734	0	0.7446626	0.8512268	0.9682182	1.02369484144653
111	0.05	100	0.1	0.9999743	0.51545	0.1124557	0.001759791	0.01359025	0.15665	14.28843	14.24576	0.3953168	15.22831	0	0	53.2845	0	0.9099843	1.15244	1.285239	1.43662155593657
112	0.05	100	0.1	0.9998372	0.468	0.1106704	0.001293932	0.006636437	0.1595	14.15164	14.08855	0.5255484	15.17226	0	0	53.0766	0	1.293318	1.473693	1.494758	1.59993681021384
113	0.05	100	0.1	0.999942	0.5763	0.1268992	0.002421183	0.01336382	0.1744	14.37391	14.32469	0.4349409	15.31078	0	0	56.97675	0	0.8161932	0.9415431	1.025506	1.1003077485414
114	0.05	100	0.1	0.99984	0.64485	0.1279817	0.002371188	0.01853017	0.16985	14.28099	14.25495	0.3836803	15.23503	0	0	59.2964	0	0.6617625	0.798758	0.9414946	1.01615827497498
