seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.1	100	0.9	0.9994902	0.99985	0.9273919	0.0004133755	0.000283174	0.95805	17.50917	17.2433	0.7335739	18.36022	5.00075e-05	0	36.03995	1	-2.64239	-2.830165	-3.030874	-3.06916256481713
100	0.1	100	0.9	0.9992864	0.99955	0.9189851	0.0005258106	0.0003524972	0.9535	17.44054	17.17357	0.8300892	18.31617	0	0	39.9848	1	-4.398056	-4.216009	-4.457349	-4.49915084372313
101	0.1	100	0.9	0.9992462	0.99695	0.9245809	0.0005089637	0.0001220367	0.9627	17.59907	17.29936	0.6399752	18.30479	0	0	37.96655	1	-3.499254	-3.514744	-3.580159	-3.59950872717103
102	0.1	100	0.9	0.9996973	0.9991	0.9215205	0.0004412727	0.0003497165	0.9533	17.1868	17.06229	0.8705722	18.26314	0	0	40.29505	1	-2.575969	-2.722357	-2.942846	-3.03913970588999
103	0.1	100	0.9	0.9982919	1	0.9182013	0.0005178204	0.0002474799	0.9589	17.40999	17.20748	0.7395696	18.31616	0	0	39.6223	1	-Inf	-Inf	-Inf	-Inf
104	0.1	100	0.9	0.9993352	0.99995	0.9223486	0.0003454891	0.000440551	0.9546	17.22875	17.13627	0.7170916	18.27486	0.000100005	0	38.27745	1	-2.845138	-2.966207	-3.184406	-3.24932987439185
105	0.1	100	0.9	0.9996469	1	0.9241226	0.0004783055	0.0003390324	0.95735	17.64693	17.30814	0.7403192	18.34569	5e-05	0	38.138	1	-Inf	-Inf	-Inf	-Inf
106	0.1	100	0.9	0.9990035	1	0.9201029	0.0004613322	0.0006082075	0.951	17.31079	17.07366	0.9186101	18.25731	0	0	41.4721	1	-Inf	-Inf	-Inf	-Inf
107	0.1	100	0.9	0.9997854	0.9984	0.9131542	0.0005324995	0.0005507233	0.9463	17.14389	17.04001	0.8382595	18.2242	0	0	42.55595	1	-2.344153	-2.462774	-2.551246	-2.56493476824684
108	0.1	100	0.9	0.9997719	0.998	0.9288819	0.0004375006	0.0001796541	0.9635	17.70941	17.41479	0.679467	18.39804	0	0	36.54865	1	-2.926025	-3.119892	-3.246103	-3.22752351648205
109	0.1	100	0.9	0.9995778	0.99945	0.9299902	0.0004765655	0.0001561762	0.9627	17.697	17.37196	0.7608318	18.4017	5.002752e-05	5.002752e-05	34.89935	1	-3.494216	-3.822741	-3.967557	-4.00513059672821
10	0.1	100	0.9	0.9998016	1	0.9259665	0.0004337634	0.0003285026	0.9586	17.60151	17.25266	0.729913	18.28746	0	0	35.92625	1	-Inf	-Inf	-Inf	-Inf
110	0.1	100	0.9	0.9998539	1	0.922462	0.0005365414	0.000298002	0.95625	17.55159	17.2103	0.7692864	18.30715	0	0	39.8278	1	-Inf	-Inf	-Inf	-Inf
111	0.1	100	0.9	0.9989168	0.9968	0.9197131	0.0004822642	0.000258793	0.95555	17.57548	17.22909	0.724682	18.2922	0	0	39.94765	1	-2.698426	-2.827382	-3.049701	-3.07942129776532
112	0.1	100	0.9	0.9993228	1	0.9227564	0.00038033	0.0004508919	0.9531	17.33283	17.12707	0.7916913	18.26987	0	0	38.9828	1	-Inf	-Inf	-Inf	-Inf
113	0.1	100	0.9	0.9987833	0.9979	0.9262597	0.0004752519	0.0003851665	0.95575	17.66079	17.29985	0.7979217	18.38392	0	0	38.30705	1	-3.439855	-3.668582	-3.868834	-3.85410229207922
114	0.1	100	0.9	0.9999	0.9968	0.9244402	0.0005270999	0.0002508959	0.9624	17.48137	17.25268	0.713698	18.31361	0	0	38.4529	1	-3.537557	-3.475082	-3.636446	-3.67060861070842
115	0.1	100	0.9	0.9996842	0.99935	0.9204261	0.0003853567	0.0004186025	0.95235	17.18888	17.11135	0.751158	18.26793	0	0	40.49445	1	-1.781999	-1.886021	-2.064939	-2.16401457707459
116	0.1	100	0.9	0.9996912	0.99855	0.9267661	0.000396184	0.0003158915	0.95585	17.27373	17.12106	0.7773718	18.2861	0	0	37.36435	1	-2.502777	-2.677617	-2.854889	-2.90509384146655
117	0.1	100	0.9	0.9992599	0.99995	0.9324498	0.0003458526	0.0003828672	0.965	17.66373	17.32966	0.7415717	18.37739	5.00025e-05	0	34.2222	1	-1.898419	-2.136073	-2.330954	-2.35906430130867
118	0.1	100	0.9	0.9987485	0.99955	0.9402635	0.0003101521	0.0001424367	0.9674	17.75846	17.50514	0.639541	18.45599	0.0003001351	0	31.22475	1	-4.890916	-5.326422	-5.359884	-5.06675808590556
119	0.1	100	0.9	0.9990731	0.9998	0.9278095	0.0003635978	0.0003405031	0.9597	17.34433	17.19544	0.7148969	18.32517	0	0	35.62575	1	-2.947417	-3.103637	-3.289948	-3.32841988144706
11	0.1	100	0.9	0.9993503	0.99995	0.9279131	0.0004251362	0.0003320085	0.9636	17.59506	17.23582	0.8376992	18.32124	0.000100005	0	35.6817	1	-3.596665	-3.807749	-4.007296	-4.03791635257301
120	0.1	100	0.9	0.9994407	1	0.9190705	0.0004647956	0.0001816823	0.95665	17.63043	17.28044	0.7263359	18.30609	0.00015	0	41.24795	1	-Inf	-Inf	-Inf	-Inf
121	0.1	100	0.9	0.9976443	0.99875	0.9243963	0.0003687167	0.0004422357	0.9533	17.31592	17.13401	0.7905476	18.28388	5.006258e-05	0	37.67995	1	-3.924968	-3.690463	-3.313511	-3.34427276930549
122	0.1	100	0.9	0.9983137	0.99995	0.9256544	0.0004907486	0.0001866833	0.9604	17.52846	17.26006	0.678675	18.33343	5.00025e-05	0	36.93555	1	-3.590581	-3.771416	-3.964409	-3.99615542639073
123	0.1	100	0.9	0.9994508	0.99795	0.9212412	0.0005130971	0.0003007271	0.9606	17.26031	17.15905	0.6595159	18.24627	0.0001002054	0	37.20685	1	-2.743953	-2.862222	-2.871937	-2.95902164984424
124	0.1	100	0.9	0.9987361	0.9999	0.9262197	0.0005050017	0.0003844675	0.96025	17.40245	17.18832	0.7300965	18.32391	5.0005e-05	0	38.4077	1	-3.403623	-3.637856	-3.850532	-3.88448218604383
125	0.1	100	0.9	0.9995377	0.99975	0.9281096	0.0004264113	0.0002615577	0.95805	17.64612	17.29986	0.7788796	18.35954	0	0	37.8749	1	-3.208434	-3.491668	-3.666171	-3.69049570056159
126	0.1	100	0.9	0.9998171	0.9978	0.9195103	0.0005470156	0.0003467049	0.9544	17.41444	17.16688	0.7675367	18.30505	0	0	39.4543	1	-1.917366	-2.093196	-2.263642	-2.29761040123894
127	0.1	100	0.9	0.9993527	1	0.9228084	0.0004398435	0.0002360778	0.95495	17.60664	17.24101	0.8240374	18.32518	0	0	38.92235	1	-Inf	-Inf	-Inf	-Inf
128	0.1	100	0.9	0.9986339	0.99935	0.9400841	0.0003881099	0.0001762226	0.97	17.7953	17.53444	0.7047262	18.51878	5.003252e-05	0	32.8288	1	-3.287957	-3.633778	-3.681216	-3.62964108061992
129	0.1	100	0.9	0.9984342	0.999	0.9267051	0.0004051493	0.0002292402	0.9611	17.56222	17.24439	0.7593169	18.34396	5.005005e-05	0	37.1562	1	-3.82509	-3.677279	-3.897754	-3.9353794844433
12	0.1	100	0.9	0.9995824	0.9999	0.9252809	0.0004286796	0.0001327558	0.9601	17.36794	17.26107	0.6508063	18.34391	0.000150015	0	36.5033	1	-2.030547	-2.172704	-2.331514	-2.39004563163275
130	0.1	100	0.9	0.9990762	0.99945	0.9200457	0.0004075972	0.000271665	0.95645	17.55817	17.24546	0.66995	18.28765	0	0	39.444	1	-2.893512	-3.061331	-3.276394	-3.30942018840787
131	0.1	100	0.9	0.9972542	0.99755	0.9303386	0.0003591536	0.0002122911	0.95855	17.50195	17.22409	0.8020659	18.35414	5.01228e-05	0	36.6677	1	-2.517601	-2.589969	-2.76948	-2.79149695841368
132	0.1	100	0.9	0.9986704	0.99895	0.9228502	0.0004952142	0.0004110916	0.9562	17.35633	17.15909	0.7891071	18.30675	5.005256e-05	0	38.4572	1	-3.064873	-3.218943	-3.4782	-3.51809688494643
133	0.1	100	0.9	0.9996302	0.999	0.9169563	0.0004817157	0.0002099725	0.9582	17.23586	17.16379	0.6962843	18.27769	0	0	39.7929	1	-3.388421	-3.474731	-3.651099	-3.74635769204517
134	0.1	100	0.9	0.9993609	0.99915	0.9203427	0.0004693346	0.0006312034	0.958	17.07316	17.03897	0.8006632	18.26116	0	0	38.188	1	-3.311042	-3.455993	-3.620733	-3.72937073487492
135	0.1	100	0.9	0.9993948	0.9996	0.9259624	0.0004814581	0.0002675975	0.96285	17.64931	17.31774	0.7363349	18.32388	0	0	38.6833	1	-3.64042	-3.876478	-4.054785	-4.07864263663615
136	0.1	100	0.9	0.9989575	0.9998	0.9248759	0.0004776169	0.0003214548	0.9575	17.5345	17.24948	0.7345725	18.33643	0	0	39.1604	1	-2.434671	-2.327239	-2.519446	-2.55826283138652
137	0.1	100	0.9	0.9993392	1	0.9266776	0.0003876786	0.0002784329	0.9604	17.38439	17.20476	0.7241918	18.32843	5e-05	0	35.7415	1	-Inf	-Inf	-Inf	-Inf
138	0.1	100	0.9	0.9986033	0.99825	0.9156906	0.0006328576	0.0006635489	0.95825	17.3144	17.14322	0.72465	18.25318	0	0	39.50655	1	-3.056436	-3.150448	-3.36556	-3.4221366781499
139	0.1	100	0.9	0.9994894	0.99835	0.9241966	0.000460492	0.0004614485	0.9528	17.5876	17.21205	0.8288616	18.32562	0	0	39.31445	1	-2.968428	-2.992814	-3.023928	-3.05570850830569
13	0.1	100	0.9	0.999709	0.99725	0.9186329	0.0005290954	0.0005798746	0.95515	17.01992	17.02962	0.7613335	18.22892	0	0	38.66875	1	-2.529006	-2.568184	-2.681525	-2.77988227335511
140	0.1	100	0.9	0.999005	0.9993	0.9222192	0.0004260768	0.0003594805	0.95495	17.44257	17.17482	0.7728461	18.26977	0	0	39.6836	1	-2.664917	-2.823632	-3.052376	-3.08886133132895
141	0.1	100	0.9	0.9993846	1	0.924899	0.0004397535	0.000207258	0.95935	17.601	17.26569	0.7672202	18.34106	0	0	39.23935	1	-Inf	-Inf	-Inf	-Inf
142	0.1	100	0.9	0.9995771	0.99945	0.9317929	0.0003928642	0.0002154841	0.96065	17.65332	17.31821	0.798257	18.4193	0.0001500825	0	35.53165	1	-2.972365	-3.244374	-3.414801	-3.44256516444719
143	0.1	100	0.9	0.9994342	1	0.9277411	0.0003601474	0.0001990783	0.9568	17.53373	17.23923	0.7763102	18.35959	0	0	36.2189	1	-Inf	-Inf	-Inf	-Inf
144	0.1	100	0.9	0.9986657	1	0.9307959	0.0003256777	0.0004028274	0.9565	17.57394	17.21208	0.7926621	18.33528	0	0	35.95935	1	-Inf	-Inf	-Inf	-Inf
145	0.1	100	0.9	0.9999232	0.9989	0.9242199	0.0004081449	0.0002960723	0.9553	17.47064	17.18093	0.8452756	18.35415	5.005506e-05	0	37.53625	1	-2.609505	-2.698806	-2.882179	-2.90055818802131
146	0.1	100	0.9	0.9985965	0.9978	0.9171518	0.0006078253	0.0002123309	0.956	17.51043	17.24839	0.6272	18.25469	0	0	41.1087	1	-2.618362	-2.762064	-2.942156	-2.97661388028547
147	0.1	100	0.9	0.999713	0.99895	0.9278858	0.0004172694	0.0002204724	0.95895	17.57296	17.25833	0.7350308	18.34496	5.005256e-05	0	37.5391	1	-2.264294	-2.363341	-2.55736	-2.57026420051662
148	0.1	100	0.9	0.9996479	0.9998	0.9258415	0.0005511524	0.0002519419	0.96085	17.49571	17.2238	0.7513606	18.347	0.00010002	0	37.58525	1	-2.513471	-2.666768	-2.855822	-2.89326319602764
149	0.1	100	0.9	0.9986542	0.9997	0.9234738	0.0004187979	0.0003698323	0.9583	17.5887	17.29398	0.7188623	18.36307	0	0	36.46245	1	-3.217691	-3.433982	-3.607666	-3.54960175979982
14	0.1	100	0.9	0.9998557	1	0.9397664	0.0004172477	0.0003289904	0.96685	17.7423	17.44038	0.7533511	18.42903	5e-05	0	32.47775	1	-Inf	-Inf	-Inf	-Inf
150	0.1	100	0.9	0.9985011	0.9996	0.9154006	0.0005260373	0.000296987	0.95355	17.29668	17.14953	0.7597183	18.27724	0	0	39.6574	1	-2.311991	-2.173577	-2.341584	-2.41398695945856
151	0.1	100	0.9	0.9999018	0.99985	0.9311934	0.0003741647	0.0002583564	0.96045	17.55236	17.2421	0.8514898	18.3808	0	0	35.13325	1	-2.721218	-2.959496	-3.149567	-3.19028809137334
152	0.1	100	0.9	0.9997809	0.99925	0.9131433	0.0005192938	0.0001668556	0.9524	17.30277	17.13809	0.7255946	18.23596	0	0	43.05125	1	-2.308969	-2.245181	-2.43846	-2.49950854061505
153	0.1	100	0.9	0.9997371	1	0.9275791	0.0004373328	0.0002384828	0.96395	17.6395	17.33174	0.7343642	18.37945	0	0	35.707	1	-Inf	-Inf	-Inf	-Inf
154	0.1	100	0.9	0.9987977	0.9992	0.9311731	0.0005090411	0.0001455451	0.9655	17.72006	17.38852	0.7255497	18.38746	5.004003e-05	0	35.3861	1	-2.417786	-2.653791	-2.808035	-2.83462784378644
155	0.1	100	0.9	0.9997736	1	0.9275153	0.0004020964	0.0003015069	0.9559	17.4785	17.1872	0.778706	18.30681	0	0	37.1696	1	-Inf	-Inf	-Inf	-Inf
156	0.1	100	0.9	0.999388	0.9995	0.9243655	0.000549273	0.0002848843	0.96225	17.65924	17.35767	0.685658	18.36056	0	0	37.7821	1	-3.591198	-3.471158	-3.458104	-3.48064133374121
157	0.1	100	0.9	0.9983985	0.99835	0.91573	0.0005948169	0.0002575083	0.95445	17.52096	17.19513	0.7479041	18.27676	0	0	41.6095	1	-3.25698	-3.378739	-3.566378	-3.59822657145249
