seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score
529	0	0.733137028082274	0.6871193	0.7296512	0.7121506	0.0007437314	0.0003467486	0.7616279	17.76962	17.68645	0.7045046	18.82325	0.01606426	0	12.72965	0.3953488	-1.10780795654994
52	0	0.719807452405803	0.08802147	0.6656977	0.7057545	0.001018834	0.0001963823	0.7616279	17.6298	17.61593	0.6243881	18.74212	0.01687764	0	13.18023	0.3081395	-0.906129979807897
530	0	0.655316996201873	0.2819508	0.625	0.6357918	0.0008850594	0.0003012198	0.6860465	17.57901	17.5177	0.5671153	18.56596	0	0	14.80814	0.1104651	-0.614854199369566
531	0	0.673035597614944	0.5340349	0.6598837	0.6597317	0.000605433	8.331607e-05	0.7005814	17.53838	17.44731	0.7179963	18.65975	0.004545455	0	13.98256	0.1860465	-0.628394502193823
532	0	0.690448170900345	0.7387256	0.7005814	0.6801286	0.0008474173	7.944702e-05	0.7383721	17.71748	17.52548	0.7992863	18.7478	0.008097166	0	13.97093	0.2732558	-0.847292636174942
533	0	0.721357748145238	0.083287	0.6860465	0.7214687	0.0006905646	8.938293e-05	0.7674419	17.76493	17.67765	0.6592593	18.83653	0.004166667	0	12.65988	0.4244186	-1.02970807346671
534	0	0.681164185586385	0.2348774	0.6656977	0.6820257	0.0005775094	0.0004290615	0.7238372	17.65751	17.5644	0.6686166	18.68635	0.008547009	0.004273504	13.60174	0.2209302	-0.744469380521202
535	0	0.664383993437514	0.171076	0.6453488	0.6632972	0.0004110224	0.0001484174	0.6947674	17.66444	17.54009	0.7070266	18.71866	0.008064516	0	14.06686	0.1860465	-0.677763875697244
536	0	0.71891996266786	0.7185756	0.752907	0.7376469	0.000481194	0.0001086448	0.7732558	17.84862	17.71451	0.6849299	18.82328	0.003861004	0.003861004	12.64244	0.4360465	-1.17734292716087
537	0	0.707332941028289	0.3255552	0.6976744	0.7112897	0.0006454691	0.0001112854	0.7645349	17.89729	17.68417	0.7394066	18.77588	0.004291845	0	13.60756	0.2616279	-0.9718638665407
538	0	0.701144648692571	0.2210526	0.6744186	0.69608	0.0007114972	0.0001459042	0.7383721	17.77407	17.66213	0.5759516	18.64496	0.008658009	0	13.35174	0.3081395	-0.804929967200269
539	0	0.734006606182083	0.4307099	0.7354651	0.7390676	0.0004527011	0.0003427794	0.7761628	17.79157	17.71693	0.5046001	18.75417	0.01204819	0	12.48256	0.4593023	-1.15257815158973
53	0	0.732188583887182	0.9177668	0.7616279	0.7252037	0.0007682166	0.0001895039	0.7674419	17.77681	17.69832	0.7053262	18.81878	0.01612903	0	12.25291	0.4302326	-0.807290840079906
540	0	0.73269419693388	0.3474634	0.755814	0.7644209	0.0004294331	7.373993e-05	0.7936047	17.89889	17.77897	0.7003203	18.88339	0.02390438	0	12.19186	0.494186	-1.09742048470211
541	0	0.730952237010933	0.1017689	0.6976744	0.7416915	0.0009713316	6.250606e-05	0.7906977	17.981	17.79645	0.6838418	18.85861	0.01901141	0	11.86628	0.4418605	-0.788573563039539
