seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0	1000	0.9	0.5558957	0.92	0.8947844	0.004389168	0.004151226	0.98905	13.93721	13.93432	0.3958045	14.9197	0	0	491.2563	1	-1.978043	-1.410732	-1.314941	-1.31853287018839
100	0	1000	0.9	0.4386245	0.89755	0.8726655	0.004721959	0.0029628	0.98825	13.95968	14.04994	0.3911905	15.07608	0	0	496.5963	1	-2.930568	-2.795918	-2.700428	-2.66564406017089
101	0	1000	0.9	0.3032525	0.8747	0.8930522	0.004163628	0.004360192	0.98995	13.81223	13.81122	0.3781406	14.86943	0	0	482.0413	1	-2.107015	-1.027717	-1.067284	-1.08151063088596
102	0	1000	0.9	0.8677004	0.9757	0.9049494	0.003818756	0.002190145	0.99165	14.57246	14.55919	0.2521833	15.39143	0	0	462.8333	1	-2.269658	-1.898216	-1.917902	-1.94844567592396
103	0	1000	0.9	0.9489923	0.98595	0.8991947	0.004219559	0.003809658	0.9862	13.78641	13.84051	0.204244	14.72743	0	0	487.8659	1	-3.339904	-2.184783	-2.180154	-2.21529603621091
104	0	1000	0.9	0.1299388	0.81615	0.8907414	0.004550603	0.003278995	0.98875	13.98681	14.02929	0.3159855	14.91154	0	0	513.0222	1	-2.514911	-1.714921	-1.738613	-1.71846771919911
105	0	1000	0.9	0.2528599	0.86125	0.897756	0.00409902	0.00298149	0.9887	13.95132	14.01202	0.3220945	14.9938	0	0	482.1757	1	-2.575494	-2.592244	-2.577202	-2.53452677464703
106	0	1000	0.9	0.01182766	0.70155	0.9014959	0.004703918	0.004748638	0.9882	13.6658	13.75189	0.5481144	14.84719	0	0	488.8596	1	-2.561581	-1.790043	-1.613542	-1.53543519170352
107	0	1000	0.9	0.9237913	0.9799	0.8982161	0.004213253	0.004272913	0.9873	13.70256	13.72469	0.3531405	14.68888	0	0	492.0254	1	-3.155384	-2.617148	-2.490982	-1.90375436704379
108	0	1000	0.9	0.9244493	0.98	0.8942451	0.004363191	0.005001818	0.98615	14.13724	14.17161	0.3207656	15.07763	0	0	503.3961	1	-2.755762	-2.370453	-2.424766	-2.42156658398123
109	0	1000	0.9	0.2483913	0.86135	0.894536	0.004316541	0.004453939	0.9883	13.69239	13.55857	1.134525	14.98575	0	0	483.8301	1	-2.461742	-2.601896	-2.543052	-2.03422354809263
10	0	1000	0.9	0.2060662	0.84555	0.8891578	0.004408511	0.00390102	0.98575	13.83657	13.80614	0.7072778	14.89651	0	0	507.589	1	-3.307215	-3.186506	-2.407558	-2.15411181920623
110	0	1000	0.9	0.5262746	0.91835	0.9019158	0.004061493	0.00559193	0.99065	13.73902	13.81541	0.4320958	14.96664	0	0	461.2788	1	-1.316342	-1.247736	-1.278247	-1.29878644413733
111	0	1000	0.9	0.0154986	0.72455	0.8862657	0.004394864	0.006452315	0.98695	13.78994	13.73262	1.003848	15.06488	0	0	510.404	1	-1.746934	-0.9440425	-1.018624	-1.0714411722908
112	0	1000	0.9	0.5335005	0.9297	0.9124074	0.003641608	0.003391004	0.99465	14.17906	14.19163	0.2967164	15.10234	0	0	426.5191	1	-Inf	-5.350808	-5.400949	-4.75944102506197
113	0	1000	0.9	0.02718131	0.7601	0.9037314	0.003950919	0.003172887	0.99055	13.79236	13.8464	0.738071	14.98078	0	0	467.3218	1	-2.722178	-2.304478	-1.994477	-1.8765875255628
114	0	1000	0.9	0.505466	0.91545	0.9095673	0.003996354	0.002001306	0.98955	14.13967	14.13628	0.4743491	15.35313	0	0	469.2719	1	-3.285551	-3.05741	-2.872326	-2.43030629612141
