seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0	10	0.1	0.1990648	0.1006	0.1053324	2.766936e-05	1.766189e-06	0.1138	17.21232	17.00966	1.087325	18.33066	0	0	3.62905	0	2.487604	2.323178	2.116427	2.0596222664904
100	0	10	0.1	0.5241496	0.0995	0.09950024	1.157836e-05	1.431067e-06	0.10515	17.15576	17.02828	1.011441	18.32459	0	0	3.5088	0	2.518943	2.346932	2.178477	2.09652037223685
101	0	10	0.1	0.2033248	0.10015	0.1037926	1.637302e-05	2.852174e-06	0.1118	17.25892	17.02893	1.040411	18.31007	0	0	3.6137	0	2.503518	2.327334	2.124708	2.06420412302273
102	0	10	0.1	0.6687085	0.09655	0.09599752	1.633682e-05	5.406983e-06	0.1031	17.39891	17.09281	0.9910842	18.36291	0	0	3.37295	0	2.4952	2.264453	2.055366	2.02615913634821
103	0	10	0.1	0.1395984	0.10255	0.1068123	2.06519e-05	4.195258e-06	0.1153	17.19287	17.01543	1.067363	18.33156	0	0	3.7075	0	2.513432	2.320186	2.165845	2.067701748131
104	0	10	0.1	0.1642971	0.1003	0.1041512	1.257604e-05	2.764181e-06	0.1099	17.26241	17.00042	1.214555	18.35783	0	0	3.66185	0	2.59351	2.394645	2.145737	2.0880516019826
105	0	10	0.1	0.5979467	0.09095	0.08969766	1.279481e-05	3.963207e-06	0.09665	17.05004	16.99801	1.015326	18.31503	0	0	3.21555	0	2.57939	2.418053	2.275285	2.16160110849147
106	0	10	0.1	0.4086571	0.09875	0.1001302	1.821734e-05	4.944923e-06	0.10735	17.32602	17.04601	1.016043	18.34176	0	0	3.43475	0	2.504299	2.345639	2.137181	2.08042869598565
107	0	10	0.1	0.3467916	0.09625	0.09698102	1.632182e-05	1.948603e-06	0.1046	17.13907	16.97702	1.140681	18.32464	0	0	3.39405	0	2.629492	2.420214	2.240844	2.14964871234704
108	0	10	0.1	0.8409778	0.10525	0.1010547	2.653539e-05	1.797532e-06	0.1072	17.15593	17.00826	1.090352	18.3527	0.0004750594	0	3.47625	0	2.565262	2.367943	2.144215	2.08438345788848
