seed	s	h	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
692	0.0142998510040343	0.5	0.876395271718502	0.2524027	0.8792046	0.8837318	5.000092e-05	6.821176e-06	0.8956074	18.40457	18.21408	0.7267023	19.14134	0.08630584	0.01447057	9.606866	0.9808073	-2.59870481351875
6930	0.0566849478054792	0.5	0.128085201978683	0.9997586	0.2039177	0.1464653	0.0001750563	6.212535e-05	0.174634	15.90555	15.9233	1.010749	17.69358	0	0	11.56668	0	2.41472147580277
6931	0.12687199069187	0.5	0.832605742476881	0.9991836	0.9368817	0.8775393	0.0002086095	9.937924e-05	0.904907	18.40122	18.22687	0.6421005	19.09427	0.0676452	0.008363252	10.41601	0.9782746	-2.67477345874138
6932	0.131050580600277	0.5	0.885661515966058	0.9982613	0.9555402	0.9142671	9.796933e-05	3.94109e-05	0.9363079	18.67224	18.49953	0.4751403	19.26213	0.1723645	0.03805935	7.507578	0.996478	-3.02334074932828
6933	0.140245008049533	0.5	0.193168552219868	0.9999917	0.4802335	0.2811229	0.002014973	0.0006527849	0.386387	16.2792	16.2769	1.053078	17.84114	0	0	18.4707	0	0.782262088300808
6934	0.0193574743811041	0.5	0.595366007834673	0.9925225	0.6370993	0.6146767	8.035229e-05	2.065574e-05	0.6309458	17.1726	17.00333	1.082383	18.33562	3.105687e-05	0	22.39832	0.04732885	-0.52522926971359
6935	0.0284832518082112	0.5	0.385346179269254	0.997815	0.4345469	0.3816031	0.0001859161	6.588273e-05	0.4096557	16.39023	16.40083	1.089317	17.94772	0	0	22.18304	0	0.462898692526737
6936	0.0528202014043927	0.5	0.177246438898146	0.9998699	0.2545904	0.2034495	0.000226274	2.158247e-05	0.2343095	16.07776	16.07675	1.04796	17.76139	0	0	15.05839	0	1.60679873820763
6937	0.0775573448743671	0.5	0.258350599557161	0.9999585	0.4145429	0.3138443	0.0006013317	0.0003287576	0.3603878	16.30152	16.3088	1.045277	17.86833	0	0	20.03484	0	0.795298682632754
6938	0.0745184942148626	0.5	0.501865229383111	0.9999286	0.6454491	0.5321404	0.000620608	0.0003087745	0.5871191	16.77267	16.77607	1.103743	18.18601	0	0	23.49792	0.003719826	-0.264847991154819
6939	0.185916142258793	0.5	0.283345847763121	0.9998681	0.6743569	0.4114456	0.003660406	0.001457716	0.5471706	16.56622	16.5823	1.064204	18.00825	0	0	22.44529	0	0.0366450241198461
693	0.134743370255455	0.5	0.225542093068361	0.9999101	0.4764543	0.2991032	0.001364425	0.000732089	0.3807281	16.24683	16.24406	1.110015	17.8346	0	0	19.31318	0	0.797512078994812
6940	0.16450545527041	0.5	0.758148746564984	0.9999018	0.9341907	0.8335813	0.0006063705	0.0002348166	0.8846854	18.17509	17.96574	0.7286482	18.92161	0.01980345	0.00129199	13.446	0.9041156	-2.46695800585776
6941	0.0267985125537962	0.5	0.301895776577294	0.9965991	0.3463395	0.3110916	0.0001204867	7.726678e-05	0.3342105	16.22176	16.2202	1.082088	17.82379	0	0	20.24317	0	0.926012091395654
6942	0.027029040036723	0.5	0.16373233590275	0.9914545	0.2042541	0.1762232	8.066329e-05	3.198594e-05	0.1925208	16.02459	16.03267	0.9945652	17.73805	0	0	13.61678	0	1.9665809079196
6943	0.14122868180275	0.5	0.743775474280119	0.999425	0.9079937	0.7974485	0.0006070247	0.0002442266	0.8530669	18.0353	17.80162	0.8133117	18.82393	0.008738287	0.0002614949	15.39913	0.7693312	-1.97721481289033
6944	0.184361261641607	0.5	0.814679423719645	0.9999833	0.9529679	0.8773676	0.0003508786	9.603284e-05	0.9213494	18.42258	18.25048	0.5997633	19.10231	0.06980462	0.008575047	10.42202	0.9780768	-2.69595454489366
6945	0.0442235442809761	0.5	0.777066437341273	0.9976983	0.8481401	0.7983888	0.0002315498	6.156029e-05	0.8285319	18.03193	17.78462	0.861938	18.83243	0.01028811	0.0003266068	15.30505	0.7753858	-1.89969216618517
6946	0.0772922693286091	0.5	0.297298227250576	0.9991177	0.4804709	0.358307	0.0008870195	0.0003277482	0.4164622	16.36579	16.39596	1.061834	17.9297	0	0	21.39563	3.957262e-05	0.501825416172913
6947	0.0987376502715051	0.5	0.481775585189462	0.9998298	0.7058567	0.5601147	0.00112826	0.0004448029	0.6348437	16.96003	16.89579	1.118008	18.2524	2.803162e-05	0	23.17875	0.008587258	-0.457278819579319
6948	0.117086698068306	0.5	0.770192211866379	0.9999701	0.9107638	0.8163841	0.0004683259	0.0001926571	0.8607044	18.09486	17.89263	0.731009	18.88196	0.01464262	0.0008472735	14.40568	0.8455877	-2.11009913094388
6949	0.129192112293094	0.5	0.721375699155033	0.9998112	0.8880095	0.7781715	0.0007061558	0.0001868585	0.8375544	17.94753	17.70853	0.8527288	18.77644	0.005793226	0.0002005348	16.53862	0.6773249	-1.81461321283957
694	0.17749706171453	0.5	0.237164287082851	0.9999618	0.5878512	0.3407273	0.002751251	0.001459681	0.4597546	16.37882	16.39138	1.078588	17.91768	0	0	20.71646	0	0.45379818760932
6950	0.0994335698429495	0.5	0.329004272818565	0.9998954	0.5492481	0.4056351	0.001020155	0.0004173727	0.4785912	16.46687	16.49884	1.122136	17.98276	0	0	22.58102	0	0.235042370421231
6951	0.0419046238064766	0.5	0.431756814755499	0.9996024	0.515651	0.4547312	0.0002979968	0.0002212854	0.4724575	16.51141	16.53223	1.14588	18.02645	0	0	23.30659	7.914523e-05	0.216507169678214
6952	0.0653272184543312	0.5	0.293642491288483	0.9995953	0.4586268	0.349481	0.0005762533	0.0003179173	0.4058726	16.37652	16.39523	1.093	17.93409	0	0	21.15402	0	0.52959608806699
6953	0.05170684652403	0.5	0.808717912063003	0.9920525	0.8765334	0.8359281	0.0001484266	2.191524e-05	0.861575	18.14924	17.93811	0.7526153	18.94229	0.02544018	0.001896163	13.15034	0.9083894	-2.41674685742992
6954	0.0343959541991353	0.5	0.530153578706086	0.9946431	0.5869213	0.5581951	0.0001127564	1.732264e-05	0.578611	16.8603	16.83878	1.106956	18.22621	0	0	23.20869	0.008349822	-0.309520366291919
6955	0.0662402213551104	0.5	0.125574005395174	0.9998467	0.2082707	0.1472988	0.0002309616	9.579251e-05	0.1775425	16.01564	16.01446	1.048549	17.74418	0	0	11.52543	0	2.36186871252087
6956	0.16848282199353	0.5	0.495918580144644	0.9999617	0.8106846	0.6175217	0.002022666	0.0007090014	0.7141076	17.47294	17.12578	1.023514	18.36591	4.881382e-05	0	22.32796	0.04752671	-0.828530499062359
6957	0.0720765839330852	0.5	0.36743333581835	0.9989257	0.5424812	0.4350179	0.000638643	0.0003201036	0.4814602	16.5093	16.55715	1.08758	18.03082	0	0	23.1218	0	0.103982578762027
6958	0.150485975993797	0.5	0.753373052179813	0.9993954	0.9133755	0.8202082	0.0004957085	0.0001489462	0.8718639	18.12006	17.92074	0.7134214	18.90352	0.01750357	0.0009748278	14.21991	0.855837	-2.32958981688579
6959	0.178930340334773	0.5	0.351953782513738	0.9998214	0.710091	0.4666013	0.003040141	0.001293964	0.589355	16.72373	16.73387	1.050206	18.10417	0	0	23.05342	0.0003165809	-0.176589764395496
695	0.0444947935175151	0.5	0.242749726586044	0.9971214	0.3105065	0.268873	0.0002987133	3.135891e-05	0.2958251	16.17569	16.20374	1.086389	17.81625	0	0	18.24339	0	1.02119377811577
6960	0.0734002541750669	0.5	0.278957069478929	0.9986948	0.4256826	0.3191886	0.0006718596	0.0002249391	0.3771666	16.31546	16.31942	1.090832	17.88254	0	0	20.33304	0	0.707412576094021
6961	0.0144693334121257	0.5	0.187834400124848	0.9225716	0.2133755	0.1973202	8.231452e-05	3.944223e-05	0.2150772	15.9891	16.01329	1.038137	17.73129	0	0	14.8962	0	1.97830660840604
6962	0.141578628821298	0.5	0.113039199821651	0.9999132	0.3258013	0.1701581	0.001021274	0.0004920266	0.2417689	16.02456	16.01652	1.059124	17.72942	0	0	12.8911	0	1.913613577378
6963	0.129792146803811	0.5	0.269747315347195	0.9998302	0.5655125	0.3596398	0.001958152	0.0008044044	0.461021	16.41318	16.43409	1.060703	17.94562	0	0	21.1666	0	0.370703201645287
6964	0.0969501317944378	0.5	0.123650964349508	0.9998768	0.2577958	0.1618523	0.0004560636	0.0002392737	0.2101899	15.97187	15.99021	1.021495	17.73043	0	0	12.30946	0	2.11577514168992
6965	0.115652334038168	0.5	0.733055575750768	0.9993151	0.8854769	0.7927642	0.0005027595	0.0001881732	0.8373763	17.99911	17.76099	0.8315584	18.81131	0.008647658	0.0003351806	15.77048	0.7491492	-1.88296756883006
