seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.01	10	0.1	0.09011324	0.0929	0.09984526	3.828914e-05	3.079608e-06	0.11255	17.3423	17.08664	0.9830045	18.36727	0	0	3.41875	0	2.512022	2.269431	2.066589	2.03568168932786
100	0.01	10	0.1	0.9446519	0.11265	0.1056877	2.459722e-05	3.013719e-06	0.11275	17.21017	16.9964	1.238423	18.41417	0	0	3.6951	0	2.552443	2.36501	2.109901	2.06645278007591
101	0.01	10	0.1	0.05612053	0.09405	0.09923436	1.957649e-05	1.05969e-06	0.10775	17.05803	16.99782	0.9912671	18.30394	0	0	3.5319	0	2.577009	2.378461	2.218241	2.12185296123823
102	0.01	10	0.1	0.6815286	0.10315	0.1008281	1.73307e-05	3.83697e-06	0.10805	17.04474	16.91651	1.217306	18.29186	0	0	3.56585	0	2.697984	2.462892	2.29306	2.18327040093188
103	0.01	10	0.1	0.7357412	0.10985	0.1069204	2.752983e-05	1.128151e-06	0.11405	17.34598	17.09976	1.050124	18.38978	0	0	3.63215	0	2.453974	2.241386	2.015713	1.98614821169151
104	0.01	10	0.1	0.6413846	0.10725	0.1047404	3.010599e-05	9.628417e-06	0.11325	17.1465	17.0002	1.111411	18.40791	0.0009324009	0	3.6237	0	2.486209	2.318605	2.123027	2.06060068570543
105	0.01	10	0.1	0.1387583	0.09525	0.09881695	1.4015e-05	9.306954e-06	0.10545	17.04095	16.9704	1.083671	18.39041	0	0	3.4818	0	2.614724	2.404721	2.243868	2.14080071657106
106	0.01	10	0.1	0.9779106	0.1014	0.09381668	1.708843e-05	5.174876e-06	0.10015	17.08778	16.96366	1.078649	18.26663	0.0004930966	0	3.2928	0	2.645621	2.441822	2.296761	2.18456898698292
107	0.01	10	0.1	0.286287	0.1047	0.1074129	2.28609e-05	2.86567e-05	0.11585	17.04623	16.97919	1.090156	18.37441	0	0	3.7626	0	2.539333	2.341332	2.164303	2.07144941973836
108	0.01	10	0.1	0.9722093	0.1151	0.1061451	2.841613e-05	2.284169e-06	0.11395	17.25728	17.01082	1.114249	18.30853	0	0	3.64345	0	2.539596	2.333173	2.100374	2.05521804826276
