seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.1	10	0.1	0.987099	0.1355	0.1200892	6.944024e-05	3.806681e-06	0.13295	17.34001	17.0837	1.077615	18.40721	0	0	4.05215	0	2.395145	2.184715	1.941049	1.92061240315428
100	0.1	10	0.1	0.9997363	0.14825	0.1210605	9.378868e-05	6.063019e-06	0.13955	17.35239	17.05975	1.094537	18.36854	0	0	4.0175	0	2.414623	2.195393	1.958744	1.94158472604686
101	0.1	10	0.1	0.7864957	0.13305	0.1265805	5.447135e-05	2.296011e-06	0.13695	17.33198	17.06448	1.136062	18.40369	0.0003757986	0	4.2514	0	2.385396	2.168989	1.920794	1.91022045846388
102	0.1	10	0.1	0.9055138	0.1285	0.1220338	1.833491e-05	1.309008e-06	0.1302	17.28668	17.09585	1.007465	18.42747	0.0003891051	0	4.0424	0	2.351813	2.142442	1.927053	1.9100133991048
103	0.1	10	0.1	0.9988241	0.1586	0.1330742	9.999693e-05	6.933985e-06	0.15205	17.3176	17.04982	1.153066	18.39949	0	0	4.3618	0	2.387331	2.203541	1.911147	1.89816513719902
104	0.1	10	0.1	0.9953189	0.14895	0.1277132	5.165673e-05	7.30792e-06	0.14125	17.2587	17.04626	1.117524	18.4031	0	0	4.24995	0	2.395111	2.172883	1.946318	1.92152423833088
105	0.1	10	0.1	0.9873862	0.1384	0.1245042	4.018122e-05	6.93917e-06	0.136	17.32404	17.1017	1.025126	18.42462	0.0003612717	0	4.13555	0	2.36369	2.161197	1.935779	1.91810046235132
106	0.1	10	0.1	0.9955347	0.14225	0.1272314	3.006022e-05	6.573733e-06	0.1366	17.35248	17.0528	1.094559	18.36474	0	0	4.19405	0	2.469273	2.211178	1.955161	1.94053652306937
107	0.1	10	0.1	0.9677169	0.15065	0.1331084	9.913469e-05	4.620994e-06	0.1498	17.41665	17.11212	1.037689	18.40136	0.0003318951	0	4.31155	0	2.320751	2.096728	1.838931	1.82886772841431
108	0.1	10	0.1	0.9952398	0.1408	0.1251235	6.158271e-05	3.392033e-06	0.1375	17.28234	17.06558	1.100539	18.39492	0	0	4.10455	0	2.39528	2.169619	1.93121	1.91377404341621
