seed	s	h	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
4388	0.10263705374673	0	0.170812316983938	0.9992551	0.2433914	0.194669	0.0001702504	5.797556e-05	0.2169371	16.05928	16.04769	1.040471	17.73244	0	0	14.71753	0	1.78707812851442
4389	0.106125791510567	0	0.726362112537026	0.9999634	0.9226355	0.7982354	0.0007366019	0.0003666048	0.8562327	18.02023	17.80077	0.7748627	18.82428	0.009285867	0.0004503538	15.68229	0.7720617	-1.9026748953645
438	0.086590768257156	0	0.463457948900759	0.9992979	0.6889197	0.5329024	0.001175953	0.0005060781	0.6091808	16.8831	16.8569	1.060405	18.19812	0	0	23.36039	0.003798971	-0.339148460777565
4390	0.0968212203588337	0	0.68274187874049	0.9996804	0.8876929	0.7578563	0.0009125865	0.0003419442	0.8285319	17.87653	17.63592	0.8361067	18.71375	0.003633203	2.228959e-05	17.44838	0.5705184	-1.7331722330591
4391	0.0128333487082273	0	0.598708713799715	0.9950055	0.6255441	0.6048555	7.595498e-05	1.645618e-05	0.6222794	17.10231	16.96839	1.125494	18.32568	9.489167e-05	0	22.37374	0.03735655	-0.546453233357737
4392	0.144165074452758	0	0.120545307546854	0.9972706	0.2090028	0.1572512	0.000162566	4.676221e-05	0.1861496	15.95385	15.94596	0.9995101	17.70616	0	0	12.38926	0	2.28814064062232
4393	0.188928858656436	0	0.880309334769845	0.9993182	0.9928769	0.9386816	0.0002219383	5.20132e-05	0.9696478	18.84768	18.72774	0.2940012	19.33659	0.2836788	0.08433639	5.763296	0.9995251	-3.5384066984369
4394	0.0875083340797573	0	0.165601098164916	0.9885166	0.2100119	0.1835366	8.109434e-05	8.409705e-05	0.2006134	15.99614	16.02852	1.007645	17.74551	0	0	14.05376	0	1.93797808239157
4395	0.00478986958041787	0	0.839681654050946	0.5327291	0.8431144	0.8439421	5.967553e-05	1.389209e-05	0.8556589	18.20379	17.98207	0.7728314	18.9703	0.03060243	0.002440684	12.57347	0.9265532	-2.37938377392754
4396	0.00297332108020782	0	0.565758915618062	0.2198528	0.5499209	0.5587371	0.0001614549	6.337183e-05	0.5820934	16.80012	16.79717	1.152541	18.2163	0	0	23.20324	0.009022556	-0.243727949854403
4397	0.199754081107676	0	0.572060659714043	0.9999648	0.9474476	0.7148982	0.003080831	0.0008670703	0.8486941	17.81142	17.54325	0.8312573	18.60645	0.0009397711	0	19.49943	0.3306292	-1.4865801197265
4398	0.132236944977194	0	0.759771605953574	0.9998187	0.9594776	0.8511941	0.0007526307	0.0001768281	0.9124258	18.30136	18.13311	0.5935384	18.99857	0.03561412	0.00294894	12.39711	0.9465374	-2.49037084567608
4399	0.16399258133024	0	0.684581919945776	0.9999067	0.960467	0.7920143	0.001838895	0.0005284438	0.8836169	18.0505	17.84607	0.7145865	18.81253	0.007436859	0.0002678093	16.0667	0.7463395	-2.19153999871742
439	0.173994003655389	0	0.762599717266858	0.9998981	0.9776415	0.8478346	0.001088823	0.0002440741	0.9223585	18.30562	18.14639	0.5498928	18.99417	0.03396074	0.001841732	12.60259	0.9366442	-2.57433507941687
43	0.126737656118348	0	0.704882204346359	0.9999532	0.9376138	0.7921555	0.001211166	0.000433758	0.8651563	18.03259	17.82487	0.7217673	18.80943	0.008272311	0.0001688227	15.95689	0.7470123	-1.98309356893541
4400	0.0160382491070777	0	0.883350307121873	0.9984381	0.9195489	0.8932645	7.174212e-05	2.423414e-05	0.9092204	18.478	18.31024	0.6473272	19.17438	0.105048	0.01839738	9.029027	0.9882074	-2.72277120214233
4401	0.188801049441099	0	0.886983931809664	0.9997358	0.9917689	0.9413792	0.0001953603	4.446524e-05	0.9701227	18.8805	18.76197	0.2850097	19.33659	0.3154776	0.09815657	5.500099	0.9997626	-3.48302374829427
4402	0.185243026027456	0	0.551954729855061	0.9999766	0.938425	0.6901979	0.003433211	0.001071496	0.8199248	17.75246	17.45719	0.8561435	18.54982	0.0005060302	2.108459e-05	20.35449	0.2241393	-1.34176565447702
4403	0.142020950326696	0	0.704336772486568	0.9999333	0.9518995	0.7961622	0.001407908	0.0004333973	0.8781322	18.05939	17.85953	0.7038772	18.82852	0.007961088	0.0001870752	15.70142	0.7616146	-2.20386820337839
4404	0.162107821647078	0	0.278761648386717	0.9998818	0.5874753	0.3726132	0.002316903	0.0009007182	0.4797586	16.45917	16.48196	1.083053	17.96982	0	0	21.56464	0	0.330763433868376
4405	0.137460404913872	0	0.898612071014941	0.9998984	0.9879304	0.9333507	0.0002030686	4.642012e-05	0.9627226	18.80749	18.66794	0.368002	19.3165	0.2653915	0.07208091	6.231599	0.9993668	-3.25886963867779
4406	0.164079958293587	0	0.23340722694993	0.9998051	0.4568856	0.3003366	0.0009776077	0.0006657606	0.365097	16.19836	16.20306	1.144314	17.84244	0	0	19.44321	0	0.933331747086739
4407	0.177137379348278	0	0.166313632577658	0.9999535	0.2847052	0.2036661	0.000288736	0.0001829206	0.2389197	16.09334	16.11466	1.052624	17.78495	0	0	15.17829	0	1.59126839911441
4408	0.0972923032939434	0	0.896508648619056	0.9996832	0.9761575	0.9312966	0.0001852165	2.736072e-05	0.9588049	18.80087	18.66474	0.3598192	19.31825	0.2506537	0.07228134	6.286585	0.9987337	-3.43222259295138
4409	0.151275596674532	0	0.317636576294899	0.9998998	0.6365651	0.4156913	0.002180416	0.001096133	0.5177087	16.54776	16.58427	1.072019	18.03949	0	0	22.446	0	0.175392958135648
440	0.123896125564352	0	0.798274891264737	0.9996757	0.9696676	0.868823	0.0005867001	0.000221628	0.9215671	18.3846	18.22059	0.57397	19.07172	0.05778766	0.005142123	11.13009	0.9711911	-2.61527483050222
4410	0.0452145143877715	0	0.181972937099636	0.9011752	0.2105461	0.1997869	7.596313e-05	1.878953e-05	0.2128017	16.10179	16.10133	1.082621	17.76767	0	0	14.96353	0	1.67706950580311
4411	0.0782838355284184	0	0.838229238800705	0.999935	0.9471903	0.8831885	0.000274208	6.872669e-05	0.9182034	18.44882	18.29785	0.5485795	19.1298	0.08163606	0.01029851	9.969272	0.982311	-2.77478377850439
4412	0.188714467408136	0	0.846414027735591	0.9997521	0.9902256	0.9200178	0.0003398517	8.334937e-05	0.9569252	18.72283	18.58345	0.3641298	19.2646	0.1868681	0.03824481	7.363474	0.9980214	-2.87738408969222
4413	0.131007561972365	0	0.82623689007014	0.9998397	0.9730115	0.8874204	0.0004654281	0.0001023784	0.937317	18.48795	18.358	0.4827736	19.13591	0.08841711	0.01130633	9.706272	0.9871389	-2.73367211411689
4414	0.105244973301888	0	0.480255692079663	0.9999584	0.7424218	0.5623825	0.001564108	0.0007217857	0.648338	17.05234	16.94805	1.096107	18.26286	2.665103e-05	0	23.18821	0.008705975	-0.469236939144703
4415	0.0631172750145197	0	0.243860048800707	0.9996516	0.3477444	0.2789427	0.0002971227	0.0001023268	0.3137911	16.23639	16.25162	1.043823	17.8353	0	0	18.76557	0	0.970572436138627
4416	0.130952219851315	0	0.139223926328123	0.9995663	0.207499	0.1624357	0.0001109371	7.676301e-05	0.1819945	16.02971	16.0118	0.9956528	17.73053	0	0	12.659	0	2.2254747411893
4417	0.0622384028974921	0	0.380413296073675	0.9998584	0.5136723	0.4198558	0.0005352749	0.0001520548	0.4666996	16.50203	16.52935	1.106164	18.01748	0	0	22.624	0	0.263398300750908
4418	0.156009825970978	0	0.521820618212223	0.9999716	0.8754056	0.6374009	0.002808197	0.001302882	0.7485556	17.59446	17.21245	0.9836097	18.41464	0.0001356147	0	21.88326	0.07550455	-0.945749239138242
4419	0.163065398111939	0	0.676231390237808	0.9999385	0.9619905	0.7861363	0.0018951	0.0005686185	0.8822715	18.03194	17.82431	0.714091	18.79354	0.005964746	0.0001439766	16.46304	0.7229521	-1.9434071728338
441	0.180591192748398	0	0.275880962051451	0.9998165	0.6038781	0.3621893	0.002394887	0.001613893	0.4616343	16.39582	16.41609	1.098837	17.929	0	0	21.32946	0	0.470055917790679
4420	0.00744148236699402	0	0.462678198888898	0.8696823	0.4848239	0.4715668	7.781676e-05	1.47428e-05	0.4898496	16.53399	16.5687	1.117267	18.05606	0	0	23.39046	0.0002374357	0.137485246691828
4421	0.0220235529355705	0	0.710984564013779	0.9992889	0.7622675	0.7248725	0.0001145309	5.098947e-05	0.7414127	17.74118	17.40266	1.032437	18.61123	0.001401687	0	18.84472	0.3929956	-1.10318385904464
4422	0.100416460260749	0	0.604588242806494	0.99957	0.8463395	0.6846952	0.001345397	0.0005342116	0.7680649	17.69114	17.35814	0.9124734	18.52179	0.0003506803	0	20.65607	0.2087455	-1.08682529852563
4423	0.127323756413534	0	0.57284077052027	0.9996934	0.8772853	0.683311	0.002001232	0.0006224499	0.7860279	17.69889	17.36425	0.9260674	18.52185	0.0003157562	0	20.59858	0.2015433	-1.13489901275488
4424	0.186114744236693	0	0.66475069206208	0.9999799	0.9636723	0.7844808	0.00170362	0.0006627289	0.8790859	18.01713	17.81577	0.7212854	18.79026	0.006898817	0.0001847898	16.33138	0.7124654	-2.08900903977793
4425	0.0115230622235686	0	0.133711326867342	0.96237	0.1530075	0.1393442	6.186547e-05	4.298717e-05	0.1524337	15.93598	15.91534	0.9841997	17.67602	0	0	11.28178	0	2.49402505424254
4426	0.154070171620697	0	0.750880907848477	0.9998665	0.9683617	0.8440702	0.0009237388	0.0002417878	0.9137119	18.26941	18.09806	0.5916696	18.97596	0.02956621	0.001859382	12.90406	0.9301148	-2.66599747576016
4427	0.162080188188702	0	0.194889403320849	0.9996887	0.3505342	0.2402358	0.0004623128	0.0003753648	0.2855164	16.08931	16.11308	1.056626	17.79716	0	0	16.88724	0	1.25642853926291
4428	0.0931073684711009	0	0.819322153367102	0.9997537	0.9557182	0.8721096	0.000353658	0.0001678476	0.9143451	18.37801	18.21437	0.5970416	19.07675	0.05858971	0.007556623	10.8411	0.97222	-2.75501889566946
4429	0.030953759746626	0	0.147025259211659	0.08725486	0.1328453	0.1422692	4.243409e-05	5.573186e-06	0.1529877	15.89467	15.88686	1.044147	17.69957	0	0	11.59723	0	2.51254270588654
442	0.00295577910728753	0	0.893729460425675	0.7430306	0.892125	0.8896181	2.384908e-05	2.637711e-06	0.8955283	18.4679	18.29443	0.6598197	19.16473	0.1002262	0.01574698	9.307598	0.9845271	-2.73554053770289
4430	0.167762226937339	0	0.246679733134806	0.9995917	0.4961812	0.312972	0.001463871	0.0008839743	0.3986941	16.32476	16.33459	1.005796	17.85417	0	0	19.9412	0	0.736644114657176
4431	0.0033092784229666	0	0.266819565184414	0.7640352	0.2850416	0.2808644	6.550168e-05	2.300286e-05	0.2940047	16.15663	16.1719	1.088446	17.82144	0	0	19.02353	0	1.11847084012508
