seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
1000	0	0.686353366402909	0.3467616	0.67915	0.6867627	0.0001332555	2.394525e-05	0.7044	17.71592	17.40169	1.106573	18.76298	0.02620923	0.02009865	18.8603	0.2534	-0.948856353718679
100	0	0.729044859390706	0.7928943	0.73095	0.7214527	0.0001555892	2.584953e-05	0.73715	17.79468	17.51798	1.100587	18.83312	0.02736165	0.01956358	17.32555	0.4027	-1.05237162933929
101	0	0.704342529503629	0.9144996	0.7112	0.6968034	8.717962e-05	1.759684e-05	0.71285	17.72912	17.41229	1.182691	18.7867	0.02594207	0.01905231	18.21415	0.303	-1.04303693204614
102	0	0.725722690648399	0.4479316	0.72415	0.7255611	0.0001077405	1.437031e-05	0.745	17.82712	17.55681	1.059659	18.85515	0.02934475	0.02023062	16.85495	0.422	-1.22943542216436
103	0	0.745704026520252	0.2016429	0.74015	0.7464981	7.236301e-05	4.156229e-05	0.76095	17.913	17.6906	0.9765248	18.92238	0.03634398	0.02384652	15.93365	0.5213	-1.49031976671213
104	0	0.719056563172489	0.03110531	0.69775	0.7166493	0.0001188013	5.46185e-05	0.73765	17.7896	17.49326	1.164588	18.86184	0.03167324	0.02407739	17.395	0.3878	-1.04380673544308
105	0	0.687059868313372	0.9118682	0.699	0.6840184	0.0001536604	2.756594e-05	0.702975	17.71927	17.41215	1.108575	18.79631	0.03175966	0.02453505	18.4745	0.2561	-1.03772676858379
106	0	0.704389856266789	0.3672393	0.7003	0.704392	0.0001039049	3.92048e-05	0.7205	17.74047	17.43156	1.166525	18.81337	0.02663144	0.02020563	17.83315	0.3289	-0.937355997134909
107	0	0.711526781343855	0.9044231	0.727	0.7112148	0.0001348128	7.307877e-05	0.73155	17.74747	17.43531	1.182508	18.84725	0.03136176	0.0218707	17.6682	0.3579	-1.0382717241905
108	0	0.714271926064976	0.4251161	0.71385	0.7168698	0.0001306296	1.600939e-05	0.73505	17.77975	17.47605	1.166607	18.85377	0.03123906	0.0226238	17.438	0.3859	-1.01790708916598
109	0	0.713769555254839	0.6417173	0.72245	0.7190794	0.0001134365	4.39645e-05	0.73645	17.78809	17.49172	1.20716	18.89084	0.03515814	0.02699149	17.23695	0.3982	-1.07200380635184
10	0	0.650056807254441	0.7792708	0.65795	0.6500572	0.0001470365	3.968802e-05	0.6692	17.6578	17.3036	1.178665	18.73374	0.02598982	0.02082225	19.57575	0.1486	-0.811799514839004
110	0	0.67744931045454	0.7929699	0.69615	0.6851149	0.0001659416	9.913496e-05	0.7057	17.69692	17.349	1.239941	18.79415	0.02700567	0.02111614	18.3925	0.2533	-0.840755374403513
111	0	0.731734419753775	0.6757391	0.7523	0.7486891	7.573151e-05	1.260646e-05	0.76345	17.87278	17.62868	1.070415	18.90096	0.03369666	0.02306261	16.252	0.5306	-1.43022929200862
112	0	0.713625745126046	0.06475912	0.6969	0.7129608	0.0001408688	1.055562e-05	0.73365	17.76792	17.46933	1.153937	18.82079	0.02647439	0.01987373	17.65535	0.367	-0.978661383485244
113	0	0.692588572972454	0.8836263	0.7036	0.6925521	0.0001109271	8.295853e-06	0.71005	17.74333	17.44199	1.159478	18.814	0.03055713	0.0219585	18.08065	0.2856	-0.907355110073356
114	0	0.670206460170448	0.007768609	0.63065	0.663888	0.0001835464	2.037286e-05	0.68605	17.64313	17.30847	1.186983	18.76175	0.02996908	0.02307143	18.9803	0.1912	-0.734350952473129
115	0	0.729218434076756	0.703614	0.7365	0.7312715	0.000109854	1.638077e-05	0.7536	17.82613	17.58543	1.020459	18.87833	0.03014257	0.02090971	16.58695	0.451	-1.20177196141286
116	0	0.740231025102548	0.01186072	0.7326	0.750829	9.491588e-05	1.358912e-05	0.76765	17.86289	17.61552	1.064226	18.91135	0.03385203	0.02395577	15.88485	0.5454	-1.34105537325951
117	0	0.666250268532895	0.6113335	0.6703	0.6684928	8.350875e-05	9.040504e-06	0.686	17.68709	17.3571	1.194224	18.78629	0.02879308	0.02379532	18.87515	0.2057	-0.813999914708173
118	0	0.688213167595677	0.7009943	0.6964	0.6910091	8.780717e-05	4.481607e-05	0.70825	17.73237	17.40828	1.185114	18.82951	0.03130385	0.02390867	18.26675	0.2817	-0.954741789880932
119	0	0.726751842536032	0.4136994	0.72535	0.729988	0.0001268543	1.432765e-05	0.7453	17.84828	17.59486	1.061285	18.90932	0.03487971	0.02398842	16.8494	0.4459	-1.24413732049262
11	0	0.738198583200574	0.4068108	0.7176	0.7195658	0.0001034953	3.406286e-05	0.73775	17.76438	17.47675	1.175839	18.86635	0.03023969	0.01999721	17.06995	0.4035	-1.09554682924003
120	0	0.714862179220654	0.8206484	0.71875	0.710666	9.119731e-05	7.992297e-05	0.7265	17.76394	17.4729	1.160735	18.84789	0.02977391	0.02142609	17.47025	0.3604	-1.10835951321494
121	0	0.747121141129173	0.9269729	0.7574	0.7403187	0.0001168194	3.186238e-05	0.75875	17.85	17.59168	1.116102	18.89448	0.03122524	0.02132295	16.1102	0.4984	-1.2928561018076
122	0	0.747474158066325	0.7085616	0.74555	0.7418483	8.500418e-05	3.487884e-05	0.756	17.86907	17.61093	1.061678	18.89195	0.03232513	0.02125947	16.70445	0.4963	-1.33463660100691
123	0	0.70085247035604	0.2132565	0.7014	0.711681	0.0001140467	4.688075e-05	0.72805	17.75982	17.43954	1.170835	18.81299	0.02587682	0.01953236	17.55695	0.3663	-1.03296006603414
124	0	0.698852270585485	0.2914081	0.6854	0.6879977	0.0001284216	0.0001537027	0.70895	17.7112	17.40359	1.132647	18.81266	0.03005544	0.02217683	18.20855	0.2695	-0.877308308942134
125	0	0.718930770503357	0.0854309	0.70855	0.7216014	0.0001069358	9.920865e-05	0.7386	17.77186	17.48656	1.123924	18.83586	0.02745043	0.02018206	17.0479	0.4126	-0.990790070654052
126	0	0.718774012639187	0.2091492	0.7053	0.7138179	0.0001156027	2.933677e-05	0.73225	17.75498	17.45017	1.162978	18.81549	0.0303417	0.02282717	17.5765	0.3659	-1.01955379914416
127	0	0.700000814371742	0.02008244	0.6878	0.7097917	0.0001012353	8.398606e-05	0.7263	17.77055	17.46091	1.173838	18.81019	0.02827857	0.02115441	17.6204	0.3516	-1.07211482586581
128	0	0.669683072878979	0.4559988	0.67185	0.6723288	0.000164402	8.769581e-06	0.69185	17.69431	17.36858	1.139704	18.77362	0.02738707	0.02121009	18.90675	0.2124	-0.914516507858397
129	0	0.703384579648264	0.413614	0.716	0.718494	0.0001226413	4.799854e-05	0.73695	17.79595	17.52225	1.091757	18.83702	0.02967877	0.0224162	17.3757	0.3938	-1.19387608945473
12	0	0.712399517861195	0.3292815	0.70445	0.7088806	0.0001753714	5.679598e-05	0.73415	17.72667	17.41008	1.178409	18.8248	0.03186883	0.0256938	17.5466	0.352	-0.84553880278355
130	0	0.691288743307814	0.2930649	0.68485	0.6920165	9.660653e-05	4.411127e-05	0.70395	17.71455	17.38894	1.210953	18.80869	0.03175878	0.025188	18.36445	0.2797	-0.946415215003374
131	0	0.729784383019432	0.1354066	0.71805	0.7263558	8.834676e-05	2.486238e-05	0.74405	17.80636	17.51977	1.147043	18.8835	0.03418982	0.02492863	16.96635	0.428	-1.13989503557813
132	0	0.714397061592899	0.847121	0.7226	0.7142782	0.0001381277	1.724659e-05	0.73045	17.80101	17.51901	1.115441	18.82752	0.02885414	0.02269582	17.8014	0.3662	-1.02406015412218
133	0	0.702906846161932	0.2961005	0.676	0.6806859	0.0001131468	8.80814e-05	0.69765	17.68059	17.35304	1.213856	18.79986	0.02773669	0.02300296	18.47045	0.2454	-0.777545340726314
134	0	0.690005167853087	0.470241	0.6893	0.6902755	7.985049e-05	4.344259e-05	0.70605	17.72991	17.41481	1.149735	18.80021	0.02923255	0.0229218	18.2489	0.2746	-0.958599585022572
135	0	0.71638731888961	0.5641686	0.7128	0.7102013	5.635814e-05	2.405422e-05	0.7227	17.76557	17.47162	1.153517	18.86297	0.03500281	0.02595398	17.4115	0.3613	-1.07358967121132
