seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
590	0	0.721520034736022	0.2039915	0.6775	0.7070169	0.0008994756	0.0001835024	0.7585	17.8029	17.47384	1.204091	18.72397	0.01845018	0.01549815	17.485	0.337	-1.04053278226696
591	0	0.652744920155965	0.1541909	0.6155	0.6428177	0.001110886	0.001410954	0.704	17.55695	17.21215	1.298032	18.83472	0.03249391	0.02518278	19.571	0.144	-0.746603726920334
592	0	0.652131641469896	0.3288287	0.6385	0.6682279	0.001917736	0.0005951015	0.7315	17.79329	17.5209	1.016478	18.74322	0.02036022	0.01722788	18.488	0.193	-1.05070016410619
593	0	0.712380215129815	0.6979613	0.727	0.7080186	0.001458047	0.001160857	0.758	17.67614	17.38646	1.071698	18.70495	0.01444292	0.009628611	18.458	0.327	-1.06541945087555
594	0	0.740061103831977	0.3325637	0.737	0.7500244	0.0005911688	0.0003689739	0.785	17.8949	17.59324	1.123643	18.93378	0.03527815	0.02374491	15.996	0.536	-1.18655969297325
595	0	0.665719490032643	0.9537946	0.741	0.6634758	0.00242176	0.0006613369	0.739	17.67695	17.28286	1.160514	18.64719	0.01754386	0.01417004	19.3975	0.182	-0.411779298714207
596	0	0.747376977070235	0.3449608	0.787	0.7972293	0.0007856321	0.0002571294	0.845	18.09878	17.91722	0.7927809	19.0451	0.04891995	0.02858958	14.1455	0.753	-1.87238985753092
597	0	0.749569397768937	0.8322355	0.801	0.7734194	0.001100438	0.0006487548	0.8275	18.03396	17.80137	0.8826893	18.93639	0.03932584	0.02746567	15.3305	0.647	-1.76891820922587
598	0	0.712846103799529	0.4948624	0.7065	0.7127671	0.001273884	0.0001533998	0.777	17.75282	17.44491	1.186844	18.83883	0.0353857	0.02972399	17.326	0.36	-0.799223963314066
599	0	0.719573066034354	0.2570993	0.7085	0.7325219	0.001031201	0.0002268357	0.787	17.85721	17.672	0.9648699	18.94342	0.04093155	0.03528582	16.5955	0.461	-1.31367261815654
59	0	0.683919352269731	0.3755099	0.7015	0.7112633	0.0007840426	0.001229212	0.758	17.72622	17.42287	1.192283	18.83098	0.02993585	0.02423378	17.309	0.345	-1.04782634932583
5	0	0.741776031674817	0.2884332	0.682	0.7100469	0.001211481	0.001208432	0.758	17.74997	17.44814	1.221253	18.87293	0.03005865	0.01612903	18.439	0.336	-0.836390377755411
600	0	0.697866218560375	0.3289396	0.6705	0.6865144	0.001528244	0.0003652308	0.751	17.71942	17.43581	0.9874236	18.6924	0.01938852	0.01565996	18.6035	0.25	-1.06939911354906
601	0	0.684190346649848	0.5352374	0.6995	0.6925382	0.0008804275	0.0005390736	0.735	17.77991	17.45128	1.194385	18.79783	0.02930665	0.02501787	17.268	0.307	-0.95355052915787
602	0	0.685358635429293	0.1823804	0.664	0.6989103	0.001951812	0.0005097172	0.777	17.80197	17.56126	1.009302	18.85752	0.03388554	0.02334337	17.7065	0.296	-1.2928919999609
603	0	0.67884533230681	0.1883749	0.6065	0.6304662	0.001800797	0.001593867	0.704	17.00594	16.97883	1.187781	18.52419	0.02061006	0.01978566	19.991	0.109	-0.377356402346571
604	0	0.663040082692169	0.941777	0.735	0.6750507	0.001827222	0.0004936835	0.7375	17.68933	17.399	1.091108	18.67545	0.01632653	0.01292517	19.42	0.219	-1.03643715771074
