seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0	10	0.9	0.87694	0.9032	0.8984027	3.841498e-05	3.356238e-05	0.91065	19.02922	18.88535	0.3284716	19.33659	0.4791298	0.2489482	3.65225	0.9487	-2.62221	-2.403107	-2.231629	-2.13176222066621
100	0	10	0.9	0.5234365	0.90345	0.9018781	2.571586e-05	6.610954e-06	0.90965	19.04692	18.90207	0.3211943	19.33659	0.4975372	0.2724002	3.44565	0.9518	-2.535147	-2.356027	-2.172289	-2.10205452750688
101	0	10	0.9	0.122563	0.89445	0.9016474	4.997715e-05	3.357165e-06	0.91775	19.05158	18.88994	0.3396637	19.33659	0.5032143	0.2784393	3.463	0.9506	-2.60849	-2.401284	-2.194234	-2.12328964830704
102	0	10	0.9	0.1037573	0.9045	0.9095875	1.889636e-05	5.597197e-06	0.9189	19.08995	18.94354	0.2768147	19.33659	0.5378109	0.3121614	3.1639	0.9594	-2.597219	-2.369192	-2.145001	-2.10981763320654
103	0	10	0.9	0.9431127	0.90285	0.8959599	1.821282e-05	2.742727e-06	0.903	19.03751	18.87702	0.3498615	19.33659	0.487844	0.2584593	3.59205	0.9444	-2.508404	-2.309708	-2.076486	-2.03357081741122
104	0	10	0.9	0.3099346	0.89085	0.8930677	2.225754e-05	5.096306e-06	0.9029	19.01453	18.86886	0.3398862	19.33659	0.4646686	0.2456081	3.68735	0.9353	-2.546624	-2.327389	-2.12019	-2.05259022388892
105	0	10	0.9	0.986067	0.91905	0.9099588	2.184658e-05	7.284218e-07	0.91735	19.07233	18.93041	0.2945191	19.33659	0.5224417	0.290463	3.24225	0.9604	-2.671752	-2.444744	-2.244258	-2.16318378034556
106	0	10	0.9	0.3713754	0.90655	0.9069171	2.840931e-05	9.561885e-06	0.9152	19.07738	18.93004	0.2967137	19.33659	0.526281	0.2952402	3.2591	0.9535	-2.646823	-2.444171	-2.270293	-2.16752173346087
107	0	10	0.9	0.5452681	0.89605	0.8946662	2.135119e-05	1.664853e-06	0.9031	19.02021	18.86122	0.3627144	19.33659	0.4703979	0.2487584	3.65655	0.9408	-2.512937	-2.327419	-2.104106	-2.04532794877083
108	0	10	0.9	0.477102	0.9013	0.9017423	1.644378e-05	3.547152e-06	0.9085	19.05067	18.91497	0.2791847	19.33659	0.5019971	0.2746588	3.41355	0.9488	-2.590355	-2.385076	-2.169041	-2.10526886772368
109	0	10	0.9	0.493452	0.90185	0.9010638	2.396599e-05	8.317756e-06	0.90845	19.04577	18.89247	0.322563	19.33659	0.4968676	0.2676166	3.45745	0.9468	-2.473939	-2.304343	-2.116447	-2.04653552373098
10	0	10	0.9	0.531005	0.9012	0.9014421	1.643158e-05	6.95401e-07	0.91075	19.05094	18.89006	0.3463369	19.33659	0.5026076	0.2779627	3.43195	0.9479	-2.594469	-2.411884	-2.28184	-2.15783357209255
