seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
1000	0	0.731873124465346	0.06410724	0.7067867	0.7226066	0.0001427282	6.485094e-05	0.746854	17.73035	17.39824	1.016646	18.60682	0.001679684	5.598947e-05	18.77014	0.3783934	-1.1367277149442
100	0	0.747398442565464	0.5459725	0.7454491	0.7447611	6.276171e-05	3.133122e-05	0.7579937	17.78267	17.47101	1.033563	18.67762	0.002786994	5.30856e-05	17.69505	0.4960427	-1.13700324734879
101	0	0.656504403217696	0.4787908	0.6387614	0.638327	0.0001368463	1.762463e-05	0.6563118	17.22465	17.01841	1.154615	18.37468	0.0002168324	0	21.79135	0.08159873	-0.653349419214427
102	0	0.740228971629403	0.8233479	0.7536209	0.743807	0.0001205033	2.037094e-05	0.7580135	17.78303	17.48943	0.9681272	18.66278	0.002783029	0.0001575299	17.96355	0.4918876	-1.26843776199669
103	0	0.682124426192604	0.8469896	0.6915117	0.6817531	8.533967e-05	1.979282e-05	0.6957459	17.61729	17.21986	1.077188	18.47577	0.0002575181	0	20.58965	0.2024535	-0.90486626965202
104	0	0.722163072321564	0.5002228	0.7264741	0.7279605	0.0001002798	3.510209e-05	0.7450732	17.72721	17.38558	1.038904	18.60919	0.001770345	2.723608e-05	18.83124	0.4079145	-1.187945509574
105	0	0.723124663578346	0.2082661	0.7173922	0.7243836	9.585947e-05	3.110038e-05	0.7418085	17.72081	17.37975	1.040783	18.61637	0.001737595	8.274264e-05	18.72827	0.3911357	-1.05151613361033
106	0	0.679553272319026	0.1593224	0.6678275	0.6762069	7.537899e-05	1.698131e-05	0.6926593	17.59491	17.19585	1.102745	18.48913	0.0005036739	0	20.6166	0.185556	-0.865885370084016
107	0	0.659287253348157	0.9683217	0.6778393	0.6623707	5.759465e-05	5.621914e-05	0.6759003	17.52029	17.14228	1.101176	18.45081	0.0003502831	0	20.98801	0.1386229	-0.762512713190577
108	0	0.723218139167875	0.150118	0.7176098	0.7258256	8.44922e-05	7.082906e-06	0.7444796	17.71742	17.38034	1.029589	18.61154	0.001488916	2.757252e-05	18.58114	0.3971112	-1.03770121489845
