seed	s	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	avg_switches	global_75_prop	iDAT_score
975	0.0330100113991648	0.724519519042224	0.9995544	0.7701622	0.7249562	0.0001260128	0.0001001497	0.7404036	17.74848	17.42454	1.006604	18.6166	0.00164423	2.569109e-05	18.80142	0.3902651	-1.11143848564981
976	0.149944678787142	0.734693969320506	0.9998986	0.906015	0.8000929	0.0006779996	0.0002286369	0.8527503	18.03669	17.81073	0.784863	18.8351	0.01030793	0.0004586154	15.49519	0.7807281	-1.96266915690808
977	0.0760217379312962	0.660336223593913	0.9959703	0.805461	0.7187308	0.0005566005	0.0001725165	0.7652008	17.74003	17.41828	0.9786632	18.58837	0.001080869	0	19.38399	0.3586466	-1.25823249877978
978	0.0406102336011827	0.706874957727268	0.9965203	0.7978631	0.7385885	0.0002771547	7.69901e-05	0.7730906	17.79781	17.50063	0.9544764	18.6606	0.002231921	2.479913e-05	18.28502	0.4649387	-1.31064773413536
979	0.0238799843471497	0.745681106462143	0.9990376	0.7817768	0.7548891	8.232246e-05	1.079005e-05	0.7711318	17.82214	17.56225	0.9029593	18.70271	0.003568626	0.0001012376	17.26937	0.5488722	-1.33712003231732
97	0.0376424133777618	0.664177847467363	0.999542	0.7518203	0.6922375	0.0002322602	7.974127e-05	0.7221013	17.65604	17.28973	1.00674	18.51685	0.0008421718	0	20.17602	0.2413534	-0.999568123593231
980	0.0382325926795602	0.741605615825392	0.9884444	0.7976652	0.7662348	0.0001238583	1.450791e-05	0.7859517	17.85642	17.59191	0.9122094	18.72066	0.003646376	0.0001240264	17.15455	0.6121884	-1.50195358691049
981	0.195084154885262	0.737846452300437	0.9997458	0.9337159	0.8193614	0.0008172756	0.0002516103	0.8776415	18.14351	17.93771	0.734292	18.90169	0.01746133	0.000614537	14.41773	0.8605857	-2.38184826179139
982	0.124883583467454	0.745047029410489	0.99993	0.8960032	0.8096712	0.0005918567	0.00011537	0.8597349	18.09596	17.8859	0.7494921	18.87242	0.01355887	0.0005079057	14.93935	0.8216066	-2.23687289918534
983	0.00324023757129908	0.711654821387492	0.1610234	0.7055402	0.715344	0.0001231454	1.835486e-05	0.7350811	17.68051	17.3192	1.09856	18.58692	0.001261989	0	19.08445	0.3498615	-0.982658508481086
984	0.187778626848012	0.672833918663673	0.9999734	0.901207	0.7629472	0.001352825	0.0003826939	0.8350218	17.92788	17.68866	0.8326947	18.74846	0.005291238	0.0001756427	17.3724	0.5976652	-1.67734375095845
985	0.0327568567357957	0.722135448618792	0.9992207	0.7743174	0.7399564	9.427491e-05	2.590461e-05	0.758053	17.75964	17.44612	1.014604	18.64931	0.002248684	0	18.22543	0.4709537	-1.22461540480682
986	0.130452111689374	0.724966903449968	0.9995321	0.8977444	0.7965527	0.0006318102	0.0002239421	0.848516	18.01587	17.79907	0.7793013	18.81955	0.00899233	0.0003967204	15.55526	0.7625247	-1.97838529274434
987	0.0695473859552294	0.685429215757176	0.9988464	0.8039177	0.7323008	0.0003108118	0.0001141671	0.7744559	17.76838	17.46797	0.9773034	18.6419	0.001919764	0	18.63934	0.4251286	-1.34536697620807
988	0.171193597093225	0.700435457075946	0.9999634	0.9067867	0.7865118	0.0008234199	0.0002885676	0.8517521	17.98373	17.75551	0.8252378	18.77956	0.006676995	0.0001963822	16.24066	0.7206173	-2.05088675059866
989	0.0873055861797184	0.71369779293891	0.9998401	0.8290265	0.7444445	0.0003450649	0.0001486198	0.7870598	17.82941	17.54684	0.9345091	18.68872	0.002744696	0	17.96072	0.4948951	-1.36885755685515
98	0.143945551570505	0.708673578081653	0.9999568	0.904907	0.7819344	0.0008222853	0.0003101429	0.8397705	17.97368	17.74497	0.8303668	18.7871	0.006297284	0.0001311934	16.31945	0.6953304	-1.79248615637531
990	0.0200845042709261	0.680958890379406	0.9993419	0.7220419	0.6898654	7.940483e-05	3.328459e-05	0.7052434	17.63998	17.27509	1.03773	18.51869	0.0007946947	2.740327e-05	20.20055	0.2312624	-0.933748680983625
991	0.182907469384372	0.678570159827359	0.9996757	0.9101306	0.7689155	0.001051793	0.0005181986	0.8368619	17.91537	17.68289	0.8096803	18.73194	0.004087134	0.0001087004	17.24311	0.629996	-1.7434378778185
992	0.0385818686336279	0.692477704724297	0.9936563	0.7626237	0.7207236	0.0001816609	6.873844e-05	0.7398892	17.72607	17.40345	0.9736849	18.60109	0.001193472	0	19.22727	0.3693708	-1.13381880536907
993	0.191757223801687	0.670204033050686	0.9999218	0.9033439	0.762795	0.001201513	0.0003170035	0.8431144	17.90115	17.67074	0.8079586	18.72081	0.003876903	0.000109517	17.52824	0.5950139	-1.73065589914675
994	0.130618490278721	0.667166977608576	0.9994885	0.8634745	0.7442142	0.0008528778	0.0003307193	0.8034626	17.8209	17.54927	0.890564	18.6641	0.001970669	4.582951e-05	18.31298	0.4923229	-1.4592738338647
995	0.0556679660920054	0.729758812999353	0.9988816	0.8313019	0.7725202	0.0002447961	6.562325e-05	0.8041947	17.89216	17.63441	0.9249412	18.75269	0.00509354	0.0001666111	16.81007	0.6466165	-1.61858964200354
996	0.0324231509584934	0.682580938981846	0.9986063	0.74907	0.7055207	0.0002408711	4.001439e-05	0.7370993	17.72303	17.3868	0.9654604	18.54662	0.001030165	2.64145e-05	19.74525	0.2946577	-1.07452407848147
997	0.167334264889359	0.733873864985071	0.9997986	0.9242976	0.8155653	0.0007771337	0.0001883193	0.8766126	18.13268	17.92354	0.7361245	18.88173	0.01481355	0.0006850195	14.6078	0.8444796	-2.19544926369453
998	0.00791037045419216	0.746751706651412	0.9902833	0.7777008	0.7564212	8.004896e-05	1.582239e-05	0.7719628	17.81648	17.55701	0.9336611	18.70982	0.00384175	0.0001272103	17.4298	0.5606648	-1.41921756767548
999	0.134482159232721	0.684944190224633	0.9998719	0.8604076	0.752123	0.0004922399	0.0002971228	0.798239	17.84379	17.57761	0.906565	18.69121	0.003265494	9.198574e-05	17.7781	0.5323308	-1.44136043360427
99	0.12153673232533	0.719248975557275	0.9997684	0.8837752	0.7856019	0.0006384982	0.0001522694	0.8426791	17.97388	17.75375	0.8002047	18.79447	0.007858326	0.0002238839	16.13231	0.714167	-1.88093572771408
9	0.0492223670706153	0.680791616323404	0.9989795	0.7736051	0.7230452	0.0001549565	9.32971e-05	0.7433518	17.72164	17.38459	1.013852	18.59526	0.001329991	0	19.08188	0.3819153	-1.10617194492633
