seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.01	1000	0.5	0.9999089	1	0.5076848	0.01231214	0.01429984	0.69795	13.41851	13.38649	0.2500832	13.96078	0	0	1344.991	0	-Inf	-Inf	-Inf	-Inf
100	0.01	1000	0.5	0.9997334	0.997	0.5086958	0.011647	0.01772587	0.6818	13.3742	13.35269	0.1382187	13.75018	0	0	1342.494	0	-1.803515	-0.5324867	-0.5794466	-0.583964320515798
101	0.01	1000	0.5	0.9997898	0.9713	0.5111891	0.01235504	0.01388448	0.6931	13.35045	13.16435	0.4973779	13.76507	0	0	1344.737	0	-1.37102	-1.336795	-1.41955	-1.13062752352953
102	0.01	1000	0.5	0.9998295	1	0.5228892	0.01250219	0.01349285	0.6933	13.41916	13.27731	0.5582644	13.81659	0	0	1357.958	0	-Inf	-Inf	-Inf	-Inf
103	0.01	1000	0.5	0.9999218	0.9954	0.5096943	0.01218682	0.01748164	0.6829	13.47362	13.49447	0.09345852	13.9273	0	0	1350.36	0	-0.6123307	-0.764297	-0.7713052	-0.774808020687864
104	0.01	1000	0.5	0.9999144	0.9955	0.5052367	0.01302825	0.01520047	0.693505	13.53224	13.50159	0.1934438	14.13106	0	0	1344.542	0	-4.582468	-1.653039	-1.647116	-1.66079237536034
105	0.01	1000	0.5	0.9998173	1	0.5241028	0.01274807	0.01507432	0.72215	13.63186	13.60418	0.1990299	14.32449	0	0	1329.795	0	-Inf	-Inf	-Inf	-Inf
106	0.01	1000	0.5	0.9997995	0.99735	0.4985294	0.01252095	0.01766027	0.69065	13.42706	13.41146	0.1794138	13.87444	0	0	1350.12	0	-0.3029203	-0.2904612	-0.3008771	-0.30291818572903
107	0.01	1000	0.5	0.9999294	1	0.5146498	0.01196835	0.01572054	0.7101	13.40069	13.26111	0.3537707	13.79564	0	0	1345.73	0	-Inf	-Inf	-Inf	-Inf
108	0.01	1000	0.5	0.9998673	1	0.5290746	0.01234406	0.01509603	0.70085	13.39896	13.3311	0.2749529	13.85571	0	0	1339.339	0	-Inf	-Inf	-Inf	-Inf
109	0.01	1000	0.5	0.9999176	0.99185	0.4934834	0.01353122	0.0181963	0.6944	13.40319	13.30655	0.3996201	13.83625	0	0	1345.233	0	-2.41399	-2.535307	-1.928914	-1.93552780901434
