seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0.05	100	0.9	0.999092	0.9854	0.9084799	0.0004753119	0.0005109374	0.93865	16.77182	16.81058	0.9500112	18.13442	0	0	45.021	1	-2.301538	-2.475285	-2.458545	-2.57096831879231
100	0.05	100	0.9	0.9986143	0.9839	0.9131373	0.0004249068	0.0004398165	0.94565	17.00831	16.99578	0.8511547	18.16794	0	0	42.329	1	-3.574035	-3.32487	-3.432545	-3.54137065038351
101	0.05	100	0.9	0.9995536	0.9912	0.9089099	0.0004142084	0.0004364638	0.93935	16.69284	16.73865	0.9401536	18.06488	0	0	45.15085	1	-2.021738	-2.122673	-2.184679	-2.31376151271101
102	0.05	100	0.9	0.9996642	0.99485	0.9101692	0.0004627757	0.0005756075	0.9416225	16.75247	16.8315	0.8144801	18.11385	0	0	44.7492	1	-2.432106	-2.580591	-2.641501	-2.77184806947371
103	0.05	100	0.9	0.9991331	0.99175	0.9220209	0.0005764224	0.0003890494	0.9552	17.0937	17.04528	0.848888	18.26446	0	0	39.85845	1	-2.15765	-2.306085	-2.442478	-2.57002834474816
104	0.05	100	0.9	0.9997204	0.99275	0.9099213	0.0004269236	0.000278417	0.9436	16.8779	16.89149	0.9538289	18.16448	0	0	43.24445	1	-2.549168	-2.532203	-2.615483	-2.72256815430712
105	0.05	100	0.9	0.9999138	0.9885	0.9103834	0.0004666474	0.0003770846	0.94095	17.02624	16.97398	0.8443556	18.20481	0	0	44.355	1	-2.680045	-2.844407	-2.993044	-3.10193131749894
106	0.05	100	0.9	0.9991805	0.98915	0.9066586	0.0004612332	0.000570789	0.94025	16.85952	16.86682	0.938393	18.08732	0	0	46.6579	1	-2.739758	-2.898633	-2.909488	-3.09336533920337
107	0.05	100	0.9	0.9980609	0.9937	0.9009963	0.0004742007	0.0004035694	0.93365	16.73978	16.8003	0.785464	18.03674	0	0	48.39195	1	-2.767644	-2.760634	-2.764932	-2.86282515299896
108	0.05	100	0.9	0.9992087	0.99075	0.9047833	0.0005243251	0.0004372768	0.93735	16.87959	16.9408	0.7645593	18.11943	0	0	47.0895	1	-2.504348	-2.447424	-2.423862	-2.5805604214635
109	0.05	100	0.9	0.9980909	0.98445	0.9145144	0.0004514081	0.0002817492	0.94435	17.45806	17.07905	0.9117838	18.23925	0	0	43.1597	1	-2.458248	-2.604845	-2.810388	-2.83338037770393
10	0.05	100	0.9	0.9996079	0.9878	0.910319	0.0004128529	0.0004415376	0.94225	16.78285	16.83163	0.8970475	18.1196	0	0	43.46435	1	-3.030785	-3.005384	-3.05613	-3.15889708618053
110	0.05	100	0.9	0.9997999	0.99145	0.9077803	0.0004686443	0.0002627154	0.9447	17.03353	16.98472	0.9138638	18.13824	0	0	45.0765	0.9999	-2.561642	-2.685539	-2.792995	-2.90051088762978
111	0.05	100	0.9	0.9998789	0.99605	0.9093059	0.0006849513	0.0005276205	0.94835	17.20139	17.02489	0.8830616	18.22677	0	0	44.7742	1	-2.412612	-2.54853	-2.75468	-2.84005320298266
112	0.05	100	0.9	0.999842	0.98675	0.916451	0.0005558538	0.0002406485	0.95355	16.92912	16.93729	0.882615	18.16242	5.06714e-05	0	41.51345	1	-2.696907	-2.803593	-2.919186	-3.03391202760521
113	0.05	100	0.9	0.9978647	0.9879	0.9142651	0.0004557747	0.0002582783	0.9514	17.37212	17.16064	0.7443313	18.28349	0	0	42.21595	1	-2.609564	-2.664752	-2.869614	-2.87208878051531
114	0.05	100	0.9	0.9997863	0.98555	0.9025719	0.0005251278	0.0004136441	0.9404	16.79471	16.79425	0.9679628	18.07631	0	0	45.8757	1	-2.434146	-2.440585	-2.485986	-2.65273725831932
115	0.05	100	0.9	0.9998835	0.9948	0.915221	0.0004045479	0.0004528699	0.94765	17.02216	16.97836	0.8499603	18.19174	0	0	41.4999	1	-2.443218	-2.430171	-2.563573	-2.68174179890352
116	0.05	100	0.9	0.9998	0.99135	0.9095619	0.000429586	0.000462032	0.94345	16.79987	16.83102	0.8999838	18.14305	0	0	44.03735	1	-2.414206	-2.476673	-2.46976	-2.6227295340027
117	0.05	100	0.9	0.9995216	0.9916	0.9130952	0.0004017596	0.0005185163	0.94795	16.98953	16.96735	0.8012659	18.17189	0	0	41.8829	1	-2.653652	-2.77672	-2.874273	-2.99707405598561
118	0.05	100	0.9	0.9999258	0.9819	0.908612	0.0004390579	0.0003676712	0.94385	16.82176	16.83817	0.8331012	18.10383	0	0	45.6657	1	-2.29871	-2.271842	-2.30321	-2.43848614566629
119	0.05	100	0.9	0.9998611	0.9923	0.9158007	0.0003837828	0.0005236394	0.943	17.0306	16.97282	0.9341555	18.23211	0	0	41.51395	1	-2.623384	-2.659745	-2.778727	-2.85838351315864
11	0.05	100	0.9	0.9979911	0.9896	0.9201443	0.000439425	0.0002448173	0.95165	17.24591	17.07425	0.8513414	18.22345	0	0	40.60555	1	-2.936192	-2.815422	-3.03849	-3.09465382182984
120	0.05	100	0.9	0.9999443	0.98835	0.9127599	0.0003902089	0.0004307135	0.9435	16.86919	16.86521	0.9386984	18.14276	0	0	42.56275	1	-2.555758	-2.708344	-2.765154	-2.88110488399364
121	0.05	100	0.9	0.9997323	0.9888	0.9156759	0.0005124349	0.0004350533	0.944	17.07204	16.9763	0.9389144	18.20263	0	0	43.3948	1	-2.176382	-2.251233	-2.388293	-2.4739180038813
