seed	s	gen	m	bene_rank	bene_prop	mean_global	var_prop	var_prop_10Mb	q95_prop	median_tract	mean_tract	var_tract	q95_tract	length_75_prop	length_95_prop	anc_switches	global_75_prop	iDAT_score_25	iDAT_score_125	iDAT_score_0625	iDAT_score_01
1000	0	100	0.9	0.1132799	0.8731	0.8969789	0.0003248796	0.0003490456	0.9231	16.39271	16.38228	1.116141	17.96	0	0	50.15085	1	-2.155493	-2.216673	-2.248963	-2.33360260761797
100	0	100	0.9	0.7681573	0.91485	0.9008349	0.0004566763	0.0002664042	0.93195	16.40036	16.41998	1.10451	17.97718	0	0	48.33695	0.9999	-2.161252	-2.302463	-2.363342	-2.48126357229793
101	0	100	0.9	0.6152283	0.91485	0.9072948	0.0003299024	0.0001931604	0.9374	16.57901	16.6032	1.02891	18.03121	0	0	44.41135	1	-2.232828	-2.351622	-2.388451	-2.52248498215168
102	0	100	0.9	0.9145911	0.9223	0.8980675	0.0004828323	0.0003146151	0.92795	16.43485	16.51678	1.017814	17.97203	0	0	50.14865	0.9999	-2.104391	-2.143367	-2.169634	-2.32399321701988
103	0	100	0.9	0.5459839	0.8906	0.887089	0.0005863287	0.0001670414	0.92415	16.09557	16.10918	1.037971	17.7726	0	0	53.74645	0.9999	-1.649774	-1.783131	-1.832435	-1.89002449272955
104	0	100	0.9	0.268478	0.8909	0.9010386	0.0004749796	0.0001210197	0.937	16.49276	16.53127	1.092255	18.01398	0	0	47.14415	1	-2.179779	-2.289544	-2.324909	-2.47112627742597
105	0	100	0.9	0.932604	0.92895	0.9040384	0.0002967425	0.0001754908	0.93115	16.51463	16.55621	1.055015	18.01225	0	0	47.3937	1	-2.169444	-2.308168	-2.34228	-2.48028913834839
106	0	100	0.9	0.1509579	0.87395	0.8966263	0.0005264888	0.001054971	0.9312	16.43709	16.45884	1.206182	17.94588	0	0	49.6833	1	-1.946593	-2.113721	-2.18863	-2.36238448477544
107	0	100	0.9	0.9181835	0.93035	0.9029088	0.0004552099	0.0002159896	0.9347	16.43417	16.44455	1.150914	18.00701	0	0	48.7316	1	-2.293703	-2.395338	-2.411343	-2.53463717493142
108	0	100	0.9	0.3758228	0.89235	0.8972458	0.0003932139	0.0001760898	0.9279	16.54384	16.57731	1.12154	18.03231	0	0	49.28805	0.9998	-2.319765	-2.473238	-2.467179	-2.6205754034493
109	0	100	0.9	0.8806928	0.9308	0.9045011	0.0004079612	0.0005281767	0.93905	16.42827	16.45989	1.042549	17.96178	0	0	45.22425	1	-2.486176	-2.551021	-2.634151	-2.7366094636677
10	0	100	0.9	0.5680839	0.9009	0.8949651	0.0005006676	0.000606467	0.93065	16.42333	16.50769	0.9862214	17.97945	0	0	49.61185	0.9999	-2.124295	-2.178798	-2.208807	-2.33594525996814
110	0	100	0.9	0.3798745	0.89825	0.9041135	0.0004195049	0.0001852869	0.9365	16.32676	16.31372	1.282657	17.98316	0	0	47.015	1	-1.789136	-1.890079	-2.000687	-2.13693016970627
111	0	100	0.9	0.5462347	0.90235	0.9028652	0.0004154739	0.0003319744	0.93025	16.4824	16.5114	1.108985	17.95591	0	0	49.367	1	-2.237632	-2.378395	-2.44518	-2.59775609725307
112	0	100	0.9	0.1353223	0.88435	0.9105335	0.0004600659	0.0002869502	0.94135	16.51634	16.54498	1.233353	18.11266	0	0	44.44535	1	-2.203795	-2.315137	-2.402221	-2.55428478274521
113	0	100	0.9	0.1504425	0.8874	0.8999376	0.0003472603	0.000154344	0.93385	16.49515	16.52572	0.9722633	17.97177	0	0	46.6158	1	-2.214795	-2.32939	-2.321261	-2.4248312376632
114	0	100	0.9	0.768394	0.914	0.8958635	0.0003983403	0.0004599481	0.92985	16.45704	16.46366	1.06238	17.96394	0	0	48.7599	0.9999	-2.108726	-2.206368	-2.299085	-2.40416703396448
115	0	100	0.9	0.3274531	0.8919	0.8989805	0.0004015234	0.000222048	0.9303	16.56012	16.57519	1.115245	18.00738	0	0	48.1938	1	-2.164452	-2.209963	-2.246842	-2.39406655045109
116	0	100	0.9	0.1387643	0.8743	0.895389	0.0004295616	0.0006701675	0.92865	16.25288	16.22937	1.196185	17.8806	0	0	48.8881	0.9997	-1.722203	-1.838237	-1.906775	-2.03450387141386
117	0	100	0.9	0.6317411	0.90945	0.9012916	0.000392522	0.0001233553	0.9313	16.45503	16.51157	1.030299	17.98384	0	0	47.37075	1	-1.915663	-2.02424	-2.077876	-2.22713695269421
118	0	100	0.9	0.8291249	0.92035	0.9020946	0.0003362557	0.0004044442	0.932	16.47047	16.50218	1.04713	17.96634	0	0	47.72515	1	-2.276594	-2.432603	-2.443036	-2.54028760767303
119	0	100	0.9	0.346824	0.89015	0.8993884	0.0004800394	0.0001801514	0.93385	16.53591	16.58418	1.11483	18.05785	0	0	48.31105	0.9999	-2.236966	-2.353531	-2.383275	-2.52820052792146
11	0	100	0.9	0.1238537	0.86705	0.8856047	0.0004263722	0.000265001	0.92535	16.32358	16.31609	1.177679	17.88544	0	0	51.53815	0.9999	-1.923054	-2.065936	-2.122782	-2.22835899383264
120	0	100	0.9	0.7289571	0.9195	0.9105644	0.0003349819	0.0004308799	0.93565	16.48005	16.53394	1.180232	18.07547	0	0	45.3263	1	-2.247943	-2.363689	-2.40617	-2.55408240990427
121	0	100	0.9	0.1616039	0.87	0.8893026	0.0004138378	0.0004057147	0.9196	16.33765	16.31451	1.094185	17.89021	0	0	53.5066	1	-1.988556	-2.061157	-2.085089	-2.18974061044248
122	0	100	0.9	0.0160091	0.8577	0.9058632	0.0003779996	0.0004666028	0.93405	16.60265	16.61612	1.20733	18.10294	0	0	46.85725	1	-2.156921	-2.305519	-2.33661	-2.54328220155712
123	0	100	0.9	0.3539298	0.8822	0.8868211	0.0005670273	0.0004499725	0.9251	16.33223	16.32489	1.16787	17.90661	0	0	52.4381	0.9998	-1.872727	-2.011822	-2.080384	-2.20869487932123
124	0	100	0.9	0.01679106	0.86355	0.9079795	0.0003555403	0.0002543667	0.9364	16.43429	16.47936	1.066241	17.99775	0	0	46.72315	1	-2.064765	-2.1329	-2.174562	-2.31199767933991
125	0	100	0.9	0.4516471	0.9065	0.9076667	0.000352498	0.0001266548	0.936	16.80952	16.80561	1.017884	18.1155	0	0	45.19785	0.9999	-2.312619	-2.475282	-2.513849	-2.68256073263626
126	0	100	0.9	0.8319681	0.9253	0.9066304	0.0003988391	0.0001110686	0.93655	16.6848	16.69337	1.108382	18.08834	0	0	45.4471	1	-2.377634	-2.579635	-2.6146	-2.75805889383435
127	0	100	0.9	0.7593964	0.91785	0.9057907	0.0003535998	9.06824e-05	0.93775	16.56269	16.5521	1.190926	18.01413	0	0	46.22395	1	-2.17043	-2.371894	-2.419279	-2.57018112292612
128	0	100	0.9	0.2484459	0.88255	0.9004256	0.0004699782	0.0007234529	0.9345	16.51132	16.53754	1.243448	18.01358	0	0	48.42665	1	-2.178929	-2.296337	-2.34298	-2.52894689944538
129	0	100	0.9	0.1093391	0.87065	0.895259	0.0004603771	0.0004061366	0.93065	16.36085	16.38285	1.079527	17.93461	0	0	49.2476	1	-1.957669	-2.030587	-2.059358	-2.1802385145888
12	0	100	0.9	0.6277977	0.9105	0.9044419	0.000327227	0.0001438857	0.93125	16.56906	16.61644	1.086652	18.05744	0	0	46.4606	1	-2.222916	-2.345896	-2.3807	-2.53877044257319
130	0	100	0.9	0.0750026	0.85645	0.8900375	0.0004999062	0.0005384181	0.92525	16.30842	16.2725	1.277141	17.90749	0	0	51.9496	1	-1.854293	-1.93955	-2.013754	-2.13254022486586
131	0	100	0.9	0.7360343	0.9103	0.8967532	0.0003488749	0.0003737042	0.9305	16.51521	16.55275	1.037854	17.97124	0	0	48.8202	1	-2.255164	-2.372191	-2.386821	-2.50646914735248
132	0	100	0.9	0.7910706	0.9162	0.8992742	0.0004390549	0.00017326	0.93235	16.45852	16.4842	1.063584	17.96274	0	0	48.36265	1	-2.193544	-2.314565	-2.322169	-2.44502102014246
133	0	100	0.9	0.2824849	0.89785	0.911173	0.0003557421	0.0003399057	0.93985	16.76431	16.74243	1.093791	18.12132	0	0	44.64675	1	-2.265172	-2.432932	-2.477773	-2.62886282374869
134	0	100	0.9	0.4150504	0.90625	0.910309	0.0004011771	0.000247321	0.9383	16.48107	16.48987	1.218321	18.014	0	0	43.98	1	-2.100739	-2.240637	-2.27583	-2.43618971135084
