seed	s	m	bene_prop	var_prop	median_tract	mean_tract	iDAT_score
1000	0	0.713707086956129	0.6889535	0.0004763221	17.85333	17.55338	-1.11275180924471
100	0	0.717998323682696	0.7063953	0.0006102263	17.70422	17.48473	-1.14930243655451
101	0	0.697299807262607	0.6773256	0.0005247915	17.73178	17.42602	-0.835670691955157
102	0	0.709132204391062	0.7267442	0.000559284	17.78592	17.48061	-0.955941167192014
103	0	0.671924240607768	0.6511628	0.0005416198	17.59527	17.36186	-0.791460441937407
104	0	0.680623232596554	0.6831395	0.0006360056	17.70367	17.34112	-0.962513039423851
105	0	0.660834418679588	0.6976744	0.0005791042	17.58168	17.27347	-0.818192989503897
106	0	0.722464151890017	0.7238372	0.0005259161	17.78633	17.54046	-1.22567323289929
107	0	0.700919697969221	0.6686047	0.0005673826	17.72718	17.37707	-1.15095883349921
108	0	0.70718218635302	0.6802326	0.0005425639	17.77668	17.41131	-0.959084970069651
109	0	0.669960676552728	0.6569767	0.0007721421	17.60496	17.30141	-0.617238391798839
10	0	0.724383023497648	0.7063953	0.0006634369	17.79425	17.51302	-1.12538546487376
110	0	0.690334434062242	0.6744186	0.0004738268	17.73042	17.49204	-0.834787576720138
111	0	0.744919182336889	0.7819767	0.0005906772	17.79927	17.50094	-1.4117007973256
112	0	0.700197140872479	0.6802326	0.000601538	17.79344	17.49542	-1.01076600064991
113	0	0.73359775422141	0.7965116	0.0005244338	17.83512	17.56989	-1.42656914893602
114	0	0.656297877035104	0.6656977	0.0004091482	17.63053	17.21172	-0.649124306466916
115	0	0.663834562664852	0.7383721	0.0005292729	17.75903	17.47734	-0.935529677786371
116	0	0.66219835781958	0.6540698	0.0006014675	17.62438	17.29499	-0.841585218627709
117	0	0.675614096061327	0.6802326	0.0004860824	17.68506	17.34254	-0.673563733226489
118	0	0.682910645962693	0.6976744	0.0006046228	17.70782	17.4533	-0.923894236000118
119	0	0.675229207379743	0.6889535	0.0005145645	17.73618	17.48211	-1.21349438501024
11	0	0.660364290769212	0.6395349	0.0006428997	17.67497	17.40901	-0.902975018255418
120	0	0.67853832996916	0.6482558	0.0006963233	17.73236	17.33211	-0.696083576192581
121	0	0.654352576076053	0.6540698	0.0005644272	17.70899	17.39148	-0.818323245302103
122	0	0.695916057541035	0.747093	0.0008758242	17.67024	17.34848	-0.781857845515429
123	0	0.705422049202025	0.6744186	0.0005100606	17.69703	17.34939	-0.820330267661618
124	0	0.689733397820964	0.6831395	0.0007036178	17.6872	17.37109	-1.10525651275527
125	0	0.680154924560338	0.6598837	0.000662807	17.76135	17.44429	-0.641233063331855
126	0	0.741248782048933	0.744186	0.0004840748	17.89043	17.61987	-1.2373566678545
127	0	0.674925449537113	0.6773256	0.0008815529	17.67484	17.37763	-0.717560615709117
128	0	0.665565724927001	0.7238372	0.0008766915	17.63137	17.2725	-0.853834250139822
129	0	0.725197426858358	0.7674419	0.0004988559	17.93653	17.66379	-1.2555153775591
12	0	0.658145601768047	0.6918605	0.0006324124	17.63871	17.23439	-0.678181611059933
130	0	0.656390374340117	0.6656977	0.0004553115	17.61131	17.23765	-0.746313293008295
131	0	0.656282830866985	0.6424419	0.0003933954	17.57966	17.16831	-0.708884093379344
132	0	0.691876312159002	0.6773256	0.0006920863	17.74814	17.37614	-0.664518520214267
133	0	0.680414593475871	0.6569767	0.0007822689	17.68169	17.3049	-1.00381661648963
134	0	0.701302808546461	0.6802326	0.0004571525	17.74491	17.37346	-0.951260764100122
135	0	0.703373216139153	0.7238372	0.0006304825	17.73734	17.42558	-1.09137804252736
136	0	0.732894377759658	0.7790698	0.0006259782	17.75575	17.56294	-1.06888922442417
137	0	0.66100729429163	0.6802326	0.0005868703	17.66049	17.22502	-0.633794666531567
138	0	0.706782879028469	0.6686047	0.0004565513	17.7308	17.42925	-0.874158417250605
139	0	0.699989226204343	0.6947674	0.0005073145	17.73489	17.42817	-0.815450950686831
13	0	0.692487029405311	0.7238372	0.0005251351	17.77132	17.4256	-1.11675308610554
140	0	0.70409433352761	0.7034884	0.0007428668	17.77023	17.45378	-0.994499090666618
141	0	0.655196377192624	0.6918605	0.0007149116	17.63751	17.35283	-0.722034753938536
142	0	0.702537731314078	0.6831395	0.0004589499	17.75777	17.48756	-0.879569937476948
143	0	0.706783536332659	0.7180233	0.0004710524	17.77849	17.52579	-1.06277292711197
144	0	0.669536663312465	0.6424419	0.0005999332	17.64243	17.31322	-0.830503752102707
145	0	0.73695804879535	0.7761628	0.0005681057	17.83565	17.52428	-1.02782783389854
146	0	0.746970147942193	0.7238372	0.0006164526	17.76863	17.53221	-1.26319983550052
147	0	0.71921074190177	0.7383721	0.0007384758	17.7738	17.47848	-0.964467142982699
148	0	0.711778236785904	0.7238372	0.000639236	17.79543	17.53746	-1.23870217639677
149	0	0.736661771615036	0.752907	0.0004975774	17.80244	17.526	-1.21142007242699
14	0	0.736147473170422	0.7616279	0.0007290038	17.85275	17.62079	-1.35406288852314
150	0	0.72146456791088	0.7412791	0.0003346902	17.89023	17.61565	-1.5438025760135
151	0	0.718884752504528	0.7180233	0.0004295883	17.86079	17.63699	-1.25006016183735
152	0	0.742189493891783	0.7267442	0.0009125677	17.85853	17.59448	-1.38686270102797
153	0	0.678552077920176	0.6598837	0.0005277289	17.76471	17.49365	-1.24717484225255
154	0	0.682007658295333	0.6715116	0.0005319075	17.71184	17.34194	-0.692624608022875
155	0	0.727467047004029	0.744186	0.0009243379	17.89283	17.60014	-1.20522437090495
156	0	0.738041526312008	0.7354651	0.0006741571	17.85752	17.53283	-1.16991459381079
157	0	0.712876155506819	0.755814	0.0009908345	17.8201	17.52127	-1.02942560269426
158	0	0.661264065420255	0.6947674	0.0008539536	17.63665	17.32131	-0.832922502482216
159	0	0.740485084475949	0.7616279	0.0006450466	17.79798	17.57259	-1.05481469357637
15	0	0.714923302456737	0.7063953	0.0005836064	17.737	17.42901	-0.756143217185462
160	0	0.70195859670639	0.7383721	0.0007736604	17.67334	17.36245	-0.955062910467638
161	0	0.665918386681005	0.6569767	0.0005007076	17.72936	17.33546	-0.900193421541483
162	0	0.658131928392686	0.6686047	0.0006419041	17.62481	17.30979	-0.958904435512495
163	0	0.686525323521346	0.6104651	0.000600211	17.64527	17.35216	-0.722501977091626
164	0	0.673714161873795	0.6947674	0.0007242469	17.74496	17.43399	-0.945781419425881
165	0	0.740081521775574	0.7674419	0.0004994049	17.83224	17.4977	-1.0059378820164
166	0	0.674925417476334	0.6656977	0.0005183268	17.73233	17.41488	-1.06176724272753
167	0	0.666999436542392	0.6569767	0.000760471	17.52128	17.07329	-0.497160579496628
168	0	0.699758952739648	0.7063953	0.0003759426	17.68279	17.43779	-0.882934714151917
169	0	0.718959071324207	0.7063953	0.0006072595	17.7196	17.31664	-0.421471637889122
16	0	0.692113785934634	0.6831395	0.0005857241	17.8219	17.49286	-1.15449559790221
170	0	0.709716170816682	0.6627907	0.0009779705	17.76249	17.52826	-1.16935636928677
171	0	0.66998621718958	0.6947674	0.0006726408	17.72787	17.45664	-0.791453362117457
172	0	0.665299000567757	0.7005814	0.0006354143	17.694	17.38585	-1.0233641116693
173	0	0.667170676612295	0.6918605	0.0006061811	17.67079	17.26996	-0.737429437023498
174	0	0.684646463207901	0.6744186	0.0006271262	17.49705	17.14287	-0.664103402844152
175	0	0.692471055779606	0.6860465	0.0006672991	17.71156	17.35643	-0.816855504004782
176	0	0.700049375230446	0.6627907	0.0005925903	17.6734	17.37763	-0.90576194491743
177	0	0.669319515582174	0.6656977	0.0005095795	17.69859	17.3317	-0.697398364071102
178	0	0.706938817421906	0.6802326	0.0006963219	17.7966	17.54051	-0.99790504021524
179	0	0.686635750369169	0.6802326	0.0004999394	17.72666	17.34112	-0.912969324999267
17	0	0.683086177334189	0.6831395	0.0005332359	17.68888	17.3673	-1.05102747496807
180	0	0.700302431010641	0.6947674	0.0007168904	17.73183	17.44533	-1.02157880650105
181	0	0.678130188165233	0.6627907	0.0009346314	17.7105	17.39858	-1.00953732082396
182	0	0.741239813738503	0.7325581	0.000778234	17.79885	17.41092	-1.09763467760332
183	0	0.701423511770554	0.7093023	0.0007880455	17.66407	17.35601	-1.07342876565864
184	0	0.71017612980213	0.7354651	0.0005177413	17.84864	17.55628	-1.33473609164461
185	0	0.689888337929733	0.6569767	0.0007406683	17.75501	17.4059	-0.912725193279278
186	0	0.692342642205767	0.7122093	0.0005762485	17.73879	17.41382	-1.12199461112538
187	0	0.660743608721532	0.6598837	0.0004939251	17.73434	17.41418	-0.866454885814163
188	0	0.726787917478941	0.7587209	0.0005277647	17.88731	17.61422	-1.28835842203575
189	0	0.724063243647106	0.7209302	0.0004913699	17.75985	17.45111	-0.906766588742692
18	0	0.658840534603223	0.6744186	0.0006980037	17.77412	17.40647	-0.933099225348458
190	0	0.73959635400679	0.7238372	0.0005063252	17.87645	17.55933	-1.20413022601247
191	0	0.736536045279354	0.7209302	0.0005548998	17.85417	17.61182	-1.2182179287695
192	0	0.686986383749172	0.6802326	0.0005701457	17.79038	17.51042	-0.931756138710174
193	0	0.746916682878509	0.7296512	0.0005100088	17.86711	17.61087	-1.15341349235228
194	0	0.697124613728374	0.6744186	0.000363131	17.75309	17.41845	-0.878998757221356
195	0	0.699842702131718	0.6860465	0.0006237864	17.86068	17.55417	-1.27806373929851
196	0	0.678764789784327	0.7122093	0.0005760786	17.72887	17.41475	-1.01249745243358
197	0	0.70713376889471	0.6773256	0.0005767343	17.67712	17.31235	-0.936136903566047
198	0	0.650858329958282	0.6511628	0.0006065171	17.59867	17.22409	-0.733866210207078
199	0	0.652999890595675	0.6453488	0.000987116	17.63415	17.3559	-0.85260289149619
19	0	0.711869638855569	0.7325581	0.000558964	17.87024	17.48742	-0.919086582933284
1	0	0.73628103195224	0.7325581	0.0004655948	17.80626	17.5599	-1.3425137807189
200	0	0.72750692316331	0.7325581	0.0005686957	17.80578	17.48302	-0.970363676754298
201	0	0.739279656042345	0.7296512	0.0006142098	17.84915	17.53334	-1.66004629557713
202	0	0.663668624544516	0.6744186	0.0007005796	17.54252	17.18133	-0.712115755141099
203	0	0.749121400993317	0.7180233	0.0004298019	17.80823	17.57147	-1.2439310260735
204	0	0.744134804117493	0.7325581	0.0008707079	17.81918	17.54742	-0.987268846800338
205	0	0.670579780661501	0.7063953	0.0004579824	17.5873	17.21567	-0.581095829112093
206	0	0.680270851333626	0.6540698	0.0007640867	17.73025	17.44771	-0.957896194950658
207	0	0.730862270318903	0.7209302	0.0003982642	17.86433	17.5854	-1.36456427464522
208	0	0.740594913996756	0.6976744	0.0005566658	17.9317	17.71978	-1.26566942366732
209	0	0.726259569940157	0.752907	0.0004602064	17.82056	17.48822	-1.1236531572175
20	0	0.742308512236923	0.7383721	0.0004506788	17.84782	17.59299	-1.17500200404875
210	0	0.718318680138327	0.747093	0.0006419339	17.76068	17.48116	-1.08592803762001
211	0	0.671453701052815	0.7005814	0.000996906	17.69776	17.40733	-0.930350720069339
212	0	0.674393552006222	0.6918605	0.0005512384	17.68764	17.41689	-0.946303228845238
213	0	0.707494839071296	0.6744186	0.0007283964	17.74423	17.4752	-1.13288389931063
214	0	0.746495790523477	0.7296512	0.0005099328	17.90083	17.63307	-1.16585090885545
215	0	0.685364567674696	0.6395349	0.0009426937	17.68429	17.39095	-0.774485119175592
216	0	0.65091638835147	0.6715116	0.0007481544	17.62802	17.24892	-0.553461624990791
217	0	0.654121488379315	0.6453488	0.000521234	17.7084	17.4648	-1.00487003375811
218	0	0.673832432623021	0.6773256	0.000477806	17.70446	17.35451	-0.860325676828376
219	0	0.688363281777129	0.7063953	0.0006497304	17.73505	17.37273	-0.984185366643373
21	0	0.732045580889098	0.744186	0.0007038765	17.76409	17.55494	-1.1587045769786
220	0	0.736251897434704	0.752907	0.0006446782	17.9249	17.58772	-1.4173120444162
221	0	0.748939241003245	0.7209302	0.0007244993	17.81303	17.61695	-1.2005812850168
222	0	0.66409716270864	0.6686047	0.0008073826	17.61394	17.24638	-0.592212969981281
223	0	0.681450097169727	0.7122093	0.000639756	17.67709	17.42929	-0.8920450882293
224	0	0.723529618862085	0.6889535	0.0007025838	17.82278	17.51064	-1.09318603914498
225	0	0.729201489547268	0.6918605	0.0005684399	17.83247	17.48663	-0.98488482555011
226	0	0.701005549868569	0.6773256	0.0005637493	17.82276	17.51128	-1.04941193424643
227	0	0.730601234454662	0.7790698	0.0005562224	17.8326	17.61711	-1.09271516421432
228	0	0.706011791038327	0.6860465	0.0009854945	17.70187	17.44782	-0.811228342421284
229	0	0.684708446939476	0.627907	0.0005875142	17.69101	17.38556	-0.974736413507284
22	0	0.669055468961597	0.6831395	0.0006281368	17.77551	17.45025	-0.896590867745103
230	0	0.74031683721114	0.7267442	0.0004253157	17.73892	17.50921	-1.38347939115139
231	0	0.74289982416667	0.7267442	0.0004542796	17.76983	17.50555	-1.20586887861304
232	0	0.689560356829315	0.6395349	0.000658757	17.761	17.51035	-1.10052451599279
233	0	0.662087866663933	0.6366279	0.0008361343	17.60249	17.24519	-0.928175748503381
234	0	0.684724051808007	0.6889535	0.0006012494	17.78001	17.40788	-0.926457162685735
235	0	0.704215142689645	0.7063953	0.0009262372	17.65576	17.33019	-1.12712297877338
236	0	0.675182924396358	0.6715116	0.0005085631	17.70731	17.45877	-1.0646969013473
237	0	0.719040575204417	0.7412791	0.0005174762	17.68371	17.3842	-1.05913020918067
238	0	0.699587571225129	0.7238372	0.0006064081	17.78501	17.52404	-1.14218711398629
239	0	0.703729371167719	0.7180233	0.0006597496	17.68411	17.43183	-0.780060058177779
23	0	0.715405043028295	0.7034884	0.0005589698	17.83689	17.55993	-1.03007266911166
240	0	0.718125754059292	0.6744186	0.0008296691	17.73225	17.42812	-0.908380120934227
241	0	0.747914153430611	0.7645349	0.0005483454	17.97327	17.73836	-1.60700213455895
242	0	0.661637753038667	0.6511628	0.0006188183	17.68789	17.34335	-0.806083194607699
243	0	0.712999450345524	0.6744186	0.0005244212	17.75491	17.54181	-1.28918900166081
244	0	0.687124361237511	0.6453488	0.0006867892	17.63683	17.28045	-0.761404052158624
245	0	0.717633432592265	0.7296512	0.0004298766	17.77907	17.50148	-1.25935697482925
246	0	0.689744354714639	0.7209302	0.0006125714	17.69345	17.43521	-1.01016274566395
247	0	0.709205256146379	0.6976744	0.0006087734	17.7796	17.47942	-1.22937352692254
248	0	0.659807192650624	0.6831395	0.0005480735	17.6955	17.346	-0.754644885884303
249	0	0.744284365605563	0.7703488	0.0004838461	17.93038	17.637	-1.24377586517958
24	0	0.657419152418152	0.6162791	0.0005630279	17.607	17.26285	-0.851800638819197
250	0	0.663186879083514	0.6773256	0.0006399841	17.58926	17.27285	-0.763439029059044
251	0	0.682184389396571	0.6976744	0.0006160237	17.66489	17.36386	-0.917134777190614
252	0	0.678107621707022	0.7209302	0.0006345727	17.73172	17.4883	-0.798967413471527
253	0	0.697905396390706	0.6860465	0.0007823675	17.71388	17.34102	-0.857171599936585
254	0	0.718574310629629	0.75	0.0007269338	17.88705	17.55437	-1.02771783304869
255	0	0.671809077984653	0.6598837	0.0006279211	17.73718	17.49093	-0.940347337233986
256	0	0.685872573941015	0.6569767	0.0008818438	17.78073	17.43724	-0.881907757649099
257	0	0.706422559102066	0.6802326	0.0006663458	17.83334	17.50804	-1.12497532950663
258	0	0.674489460862242	0.7238372	0.0006153698	17.74116	17.39558	-0.855485969158735
259	0	0.726041931682266	0.7790698	0.0007287705	17.7999	17.52987	-1.18685674317069
25	0	0.715663052978925	0.6569767	0.0005441088	17.79967	17.538	-1.28283590731882
260	0	0.681642520055175	0.6453488	0.0007479677	17.73735	17.3966	-0.825358055775217
261	0	0.672710444172844	0.6424419	0.0006774729	17.74766	17.29576	-0.686440622954916
262	0	0.736334689799696	0.752907	0.0005687009	17.94906	17.66358	-1.32667268217038
263	0	0.74896423057653	0.7267442	0.0008669907	17.9078	17.65276	-1.34670381336901
264	0	0.661285858531483	0.6744186	0.0008802912	17.65375	17.25605	-0.864107783886107
265	0	0.689307068707421	0.7354651	0.001199405	17.7058	17.29309	-0.549149704884851
266	0	0.724251554696821	0.7412791	0.0004712366	17.88422	17.55284	-1.34408950728257
267	0	0.6511910345871	0.6773256	0.0007326667	17.58942	17.2192	-0.537077821642651
268	0	0.713737887353636	0.6395349	0.0005858503	17.79546	17.44458	-0.883720261543832
269	0	0.692525720130652	0.7034884	0.0007023262	17.74692	17.45859	-0.982228720037588
26	0	0.720979298907332	0.7296512	0.0004333578	17.80257	17.53438	-0.954205251586274
270	0	0.690612438996322	0.6831395	0.0004961536	17.72463	17.36569	-0.978107940261881
271	0	0.706269907881506	0.7034884	0.0005692759	17.73855	17.39502	-0.949527035573911
272	0	0.72485996549949	0.752907	0.0006685289	17.87491	17.56999	-1.15098124912614
273	0	0.684074746491388	0.6918605	0.0008463216	17.67247	17.29224	-0.877316131931736
274	0	0.668211280251853	0.7267442	0.0008707	17.76522	17.43158	-0.848741331490577
275	0	0.660472300485708	0.6831395	0.0006890884	17.77109	17.47628	-0.950905040624864
276	0	0.655870274524204	0.6802326	0.0008044412	17.66895	17.27597	-0.948488557297954
277	0	0.691506711789407	0.7005814	0.0008687756	17.72027	17.40742	-0.897280166119742
278	0	0.714585603168234	0.7151163	0.0006679679	17.77145	17.44216	-1.05317959585713
279	0	0.710082053206861	0.6773256	0.0005146392	17.7839	17.51894	-1.07771145921903
27	0	0.684126976388507	0.6395349	0.000826899	17.67921	17.31278	-0.705357648502203
280	0	0.670168056897819	0.6976744	0.0004502581	17.67066	17.30341	-0.685025291901784
281	0	0.66563227174338	0.6889535	0.0008642246	17.64924	17.29428	-0.948073597507758
282	0	0.692309504142031	0.7005814	0.0007177399	17.77273	17.49379	-0.883282964047744
283	0	0.719589248788543	0.7209302	0.0005263571	17.81553	17.54501	-1.20961282149756
284	0	0.650568796158768	0.6715116	0.0008910797	17.48112	17.14177	-0.590603741572574
285	0	0.743484014971182	0.7761628	0.0005680243	17.83308	17.56319	-1.2447489924084
286	0	0.732254444202408	0.7093023	0.0005599743	17.8415	17.5681	-1.04459097499613
287	0	0.723264078842476	0.6598837	0.0006605864	17.87816	17.60031	-1.22304947956873
288	0	0.664553380827419	0.6482558	0.0005617801	17.71475	17.37777	-0.910404499580541
